Year,Index
1950,72.1
1951,77.8
1952,79.5
1953,80.1
1954,80.5
1955,80.2
1956,81.4
1957,84.3
1958,86.6
1959,87.3
1960,88.7
1961,89.6
1962,90.6
1963,91.7
1964,92.9
1965,94.5
1966,97.2
1967,100
1968,104.2
1969,109.8
1970,116.3
1971,121.3
1972,125.3
1973,133.1
1974,147.7
1975,161.2
1976,170.5
1977,181.5
1978,195.4
1979,217.4
1980,246.8
1981,272.4
1982,289.1
1983,298.4
1984,311.1
1985,322.2
1986,328.4
1987,340.4
1988,354.3
1989,371.3
1990,391.4
1991,408
1992,420.3
1993,432.7
1994,444
1995,456.5
1996,469.9
1997,480.8
1998,488.3
1999,499
2000,515.8
2001,530.4
2002,538.8
2003,551.1
2004,565.8
2005,585
2006,603.9
2007,621.106
2008,644.951
2009,642.658
2010,653.198
2011,673.818
2012,687.761
2013,697.836
2014,709.156
2015,709.998
2016,718.955
2017,734.269
2018,752.205
