taxon_key,scientific_name,common_name,phylum,sub_phylum,super_class,class,super_order,order,suborder_infraorder,family,genus,species,comments_names,is_retired,taxon_group_id,taxon_level_id,functional_group_id,commercial_group_id,commercial,isscaap_id,cell_id,super_target,fb_spec_code,slb_spec_code,cla_code,ord_code,fam_code,gen_code,spe_code,slb_cla_code,slb_ord_code,slb_fam_code,slb_gen_code,is_use,is_taxa_used,is_mariculture_only,is_baltic_only,sl_max,slbl_max_type,sl_max_2,comments_sl_max,tl,se_tl,comments_tl,lat_north,lat_south,min_depth,max_depth,loo,woo,k,a,b,comments_growth,has_habitat_index,has_map,map_year,vulnerability,resilience,updated_by,date_updated,lineage,true_min_depth,true_max_depth
601456,Etrumeus whiteheadi,Whitehead's round herring,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Clupeiformes,NA,Dussumieriidae,Etrumeus,whiteheadi,"ASFIS2019: Changed common name from Whiteheads round herring to Whitehead's round herring (NB, 05/06/2019).",false,1,6,1,2,1,35,993,1,1456,,6,28,683,224,1456,,,,,false,true,false,false,22,,,,3.4,0.45,,-22,-36,0,9999,22,68,0.71,0,3.11,SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.,true,true,,20.65,High,Deng,2019-06-05,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Clupeiformes.NA.Dussumieriidae.Etrumeus.Whiteheadi,,
605123,Exocoetus monocirrhus,Barbel flyingfish,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Beloniformes,NA,Exocoetidae,Exocoetus,monocirrhus,,false,1,6,1,12,,37,,,5123,,6,51,206,64,5123,,,,,,,,false,20,,,,6,,,32,-35,0,9999,,,,,,,true,false,,13.04,High,,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Beloniformes.NA.Exocoetidae.Exocoetus.Monocirrhus,,
200538,Chondrichthyes,"Sharks, rays, chimaeras",Chordata,Vertebrata,Chondrichthyes,,,,,,,,,false,1,2,20,9,1,38,28,4,,,,,,,,,,,,false,true,false,false,150,,,,4,0.4,,90,-90,10,9999,,,,,,,true,true,,,,,2018-10-09,Chordata.Vertebrata.Chondrichthyes,,
400313,Echeneidae,Remoras,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Perciformes,NA,Echeneidae,,,,false,1,4,3,3,1,37,120,1,,,6,60,313,,,,,,,false,true,false,false,96,,,,3.22,0.14,,45,-45,20,9999,,,,,,,true,true,,,,,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Echeneidae,,
400176,Percopsidae,Trout-perches,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Percopsiformes,NA,Percopsidae,,,,false,1,4,4,12,2,39,87,3,,,6,43,176,,,,,,,false,false,false,true,8,,,,3.58,0.01,Mean TL of species in this class; seTL being StDev/Sqrt(N),90,-90,10,61,,,,,,"For Percopsis transmontana (a freshwater species), FAO 2, endemic in Washington, USA (FAO 67). Min/Max depth from Percopsis omismonycus.",false,false,,,,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Percopsiformes.NA.Percopsidae,,
690023,Illex argentinus,Argentine shortfin squid,Mollusca,NA,NA,Cephalopoda,Coleoidea,Teuthida,NA,Ommastrephidae,Illex,argentinus,,false,3,6,25,12,1,57,1845,5,,57274,901063,910267,901920,906759,957274,1063,10267,1920,6759,false,true,false,false,33,ML,,,3.8,0.55,,-20,-55,0,9999,,,0.94,,,,true,true,,,,Deng,2018-10-09,Mollusca.NA.NA.Cephalopoda.Coleoidea.Teuthida.NA.Ommastrephidae.Illex.Argentinus,,
690058,Artemia salina,Brine shrimp,Arthropoda,Crustacea,NA,Branchiopoda,NA,Anostraca,NA,Artemiidae,Artemia,salina,,false,2,6,26,10,2,47,1866,6,,7884,901006,910024,900250,900787,907884,1006,10024,250,787,false,false,false,false,4,,,,2,0,,90,-90,0,9999,,,,,,,true,false,,,,Deng,2018-10-09,Arthropoda.Crustacea.NA.Branchiopoda.NA.Anostraca.NA.Artemiidae.Artemia.Salina,,
600339,Menidia menidia,Atlantic silverside,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Atheriniformes,NA,Atherinopsidae,Menidia,menidia,,false,1,6,1,12,1,37,644,1,339,,6,49,623,3456,339,,,,,false,true,false,false,12,,,,3.19,0.1,,51,29,0,9999,12.3,11,1.16,0,3.11,SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.,true,true,,13.34,High,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Atheriniformes.NA.Atherinopsidae.Menidia.Menidia,,
623049,Cheilopogon unicolor,Limpidwing flyingfish,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Beloniformes,NA,Exocoetidae,Cheilopogon,unicolor,,false,1,6,2,12,1,37,,1,23049,,6,51,206,4971,23049,,,,,false,false,false,false,31,,,,3.7,0.5,,37,-22,0,9999,31.16,178,0.87,0,3.12,SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.,true,true,,20.36,High,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Beloniformes.NA.Exocoetidae.Cheilopogon.Unicolor,,
605807,Monodactylus argenteus,Silver moony,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Perciformes,NA,Monodactylidae,Monodactylus,argenteus,,false,1,6,1,3,2,39,1494,1,5807,,6,60,333,7023,5807,,,,,false,false,false,false,27,,20,,2.95,0.33,,31,-42,0,9999,27,556,,0.03,2.98,SLmax_old; SLinf from SLmax of Estimates table; .,true,false,,22.94,,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Monodactylidae.Monodactylus.Argenteus,,
601606,Dorosoma petenense,Threadfin shad,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Clupeiformes,NA,Clupeidae,Dorosoma,petenense,,false,1,6,1,2,,35,,,1606,,6,28,43,3494,1606,,,,,,,,false,27.23895997,,,,6,,,42,15,0,9999,,,,,,,true,false,,31.35,Medium,,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Clupeiformes.NA.Clupeidae.Dorosoma.Petenense,,
601030,Cheilopogon melanurus,Atlantic flyingfish,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Beloniformes,NA,Exocoetidae,Cheilopogon,melanurus,,false,1,6,1,12,,37,,,1030,,6,51,206,4971,1030,,,,,,,,false,26.666656,,,,6,,,40,-25,0,9999,,,,,,,true,false,,17.69,High,,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Beloniformes.NA.Exocoetidae.Cheilopogon.Melanurus,,
605122,Cypselurus poecilopterus,Yellowing flyingfish,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Beloniformes,NA,Exocoetidae,Cypselurus,poecilopterus,,false,1,6,1,12,2,37,1338,1,5122,,6,51,206,4432,5122,,,,,false,false,false,false,22,,,,3.4,0.45,,45,-25,0,9999,22.14,120,1.19,0.01,3.04,SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.,true,false,,14.84,High,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Beloniformes.NA.Exocoetidae.Cypselurus.Poecilopterus,,
600340,Eleutheronema tetradactylum,Fourfinger threadfin,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Perciformes,NA,Polynemidae,Eleutheronema,tetradactylum,,false,1,6,6,3,1,33,645,3,340,,6,60,361,1052,340,,,,,false,true,true,false,164,,,,4.06,0.47,,26,-29,0,9999,164,31646,0.13,0,3.12,SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.,true,true,,68.99,Medium,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Polynemidae.Eleutheronema.Tetradactylum,,
601625,Ilisha africana,West African ilisha,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Clupeiformes,NA,Pristigasteridae,Ilisha,africana,,false,1,6,2,2,1,35,1032,1,1625,,6,28,620,2181,1625,,,,,false,true,false,false,30,,17,,3.59,0.15,,19,-10,0,9999,30,191,1.26,0.01,3,SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.,true,true,,19.04,High,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Clupeiformes.NA.Pristigasteridae.Ilisha.Africana,,
601199,Umbrina coroides,Sand drum,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Perciformes,NA,Sciaenidae,Umbrina,coroides,,false,1,6,5,3,,33,,,1199,,6,60,331,1644,1199,,,,,,,,false,30.37192593,,,,6,,,38,-8,5,15,,,,,,,true,false,,26.16,High,,2019-06-05,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Sciaenidae.Umbrina.Coroides,,
600238,Salmo trutta,Sea trout,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Salmoniformes,NA,Salmonidae,Salmo,trutta,Changed from S trutta trutta to S trutta,false,1,6,3,6,1,23,575,2,238,,6,36,76,6009,238,,,,,false,true,true,false,140,,94,,3.36,0.1,,71,34,0,9999,50,1151,0.29,0.01,3.02,SLmax_old; SLinf from average of observed data for species; K from theta and average SLinf.,true,true,,59.96,Medium,Deng,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Salmoniformes.NA.Salmonidae.Salmo.Trutta,,
603241,Menidia beryllina,Inland silverside,Chordata,Vertebrata,Osteichthyes,Actinopterygii,NA,Atheriniformes,NA,Atherinopsidae,Menidia,beryllina,,false,1,6,1,12,,37,,,3241,,6,49,623,3456,3241,,,,,,,,false,11.25,,,,6,,,42,25,0,9999,,,,,,,true,false,,18.38,High,,2018-10-09,Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Atheriniformes.NA.Atherinopsidae.Menidia.Beryllina,,
