Country,Year,CNumber.x,Landings,LandedValue,ObservedPrice,TaxonKey,ISSCAAP,OrdCode,FamCode,GenCode,SpeCode,TargetCode,Used,OldVersionData,nom,CNumber.y,FishingEntityID,FishingEntityName
Amer Samoa,2003,16,0.09979032,826,8277.35596,600202,33,60,323,2124,202,5,TRUE,NA,32060,16,3,American Samoa
Amer Samoa,2003,16,2.133244991,4926,2309.158123,600216,36,60,419,538,216,3,TRUE,NA,32062,16,3,American Samoa
Amer Samoa,2003,16,0.003175147,14,4409.244674,600177,33,60,323,357,177,18,TRUE,NA,32058,16,3,American Samoa
Amer Samoa,2003,16,0.210013255,1176,5599.646556,600155,33,60,323,357,155,17,TRUE,NA,32057,16,3,American Samoa
Amer Samoa,2003,16,1.901459217,4192,2204.62262,600217,36,60,419,538,217,3,TRUE,NA,32063,16,3,American Samoa
Amer Samoa,2003,16,0.027215542,149,5474.812884,600188,33,60,323,3034,188,17,TRUE,NA,32059,16,3,American Samoa
Amer Samoa,2003,16,1.080910563,4181,3868.035102,501144,33,60,328,1144,NA,17,TRUE,NA,32043,16,3,American Samoa
Amer Samoa,2003,16,235.5881653,575105,2441.145544,600146,36,60,416,1905,146,3,TRUE,NA,32056,16,3,American Samoa
Amer Samoa,2003,16,0.330668837,1655,5005.007472,600083,33,60,323,1230,83,18,TRUE,NA,32050,16,3,American Samoa
Amer Samoa,2003,16,0.009071847,50,5511.556798,600264,33,60,323,357,264,17,TRUE,NA,32065,16,3,American Samoa
Amer Samoa,2003,16,3930.104004,8186667,2083.066248,600142,36,60,416,1905,142,3,TRUE,NA,32054,16,3,American Samoa
Amer Samoa,2003,16,7.892053604,30225,3829.801661,600006,39,60,315,116,6,3,TRUE,NA,32047,16,3,American Samoa
Amer Samoa,2003,16,0.029029911,127,4374.798118,606507,33,53,243,9309,6507,17,TRUE,NA,32084,16,3,American Samoa
Amer Samoa,2003,16,0.02494758,102,4088.57292,600211,33,60,323,2124,211,5,TRUE,NA,32061,16,3,American Samoa
Amer Samoa,2003,16,0.008618255,46,5337.507419,607350,33,60,289,366,7350,6,TRUE,NA,32085,16,3,American Samoa
Amer Samoa,2003,16,0.009979032,55,5511.556632,604541,33,60,330,1549,4541,17,TRUE,NA,32078,16,3,American Samoa
Amer Samoa,2003,16,0.017690102,98,5539.821082,605348,33,60,289,366,5348,17,TRUE,NA,32079,16,3,American Samoa
Amer Samoa,2003,16,0.337019145,1304,3869.216391,600301,33,60,323,2124,201,6,TRUE,NA,32067,16,3,American Samoa
Amer Samoa,2003,16,0.956172705,1973,2063.434764,600077,36,60,419,488,77,3,TRUE,NA,32048,16,3,American Samoa
Amer Samoa,2003,16,0.232239291,1024,4409.24529,590013,57,90007,90012,90013,NA,25,TRUE,NA,32045,16,3,American Samoa
Amer Samoa,2003,16,1.85519278,4090,2204.622638,600390,39,60,317,571,390,17,TRUE,NA,32068,16,3,American Samoa
Amer Samoa,2003,16,1.163010836,4392,3776.405055,600265,33,60,323,357,265,17,TRUE,NA,32066,16,3,American Samoa
Amer Samoa,2003,16,3.667747974,18230,4970.352415,600226,36,60,417,115,226,3,TRUE,NA,32064,16,3,American Samoa
Amer Samoa,2003,16,0.022679618,146,6437.498198,400332,33,60,332,NA,NA,17,TRUE,NA,32032,16,3,American Samoa
Amer Samoa,2003,16,0.031751465,155,4881.664515,601848,33,60,328,1144,1848,17,TRUE,NA,32073,16,3,American Samoa
Amer Samoa,2003,16,0.288938344,1326,4589.214369,500467,37,60,314,467,NA,17,TRUE,NA,32038,16,3,American Samoa
Amer Samoa,2003,16,0.197312683,1303,6603.731601,600081,33,60,323,1230,81,17,TRUE,NA,32049,16,3,American Samoa
Amer Samoa,2003,16,114.6277847,151473,1321.433546,600107,36,60,416,6745,107,3,TRUE,NA,32053,16,3,American Samoa
Amer Samoa,2003,16,0.548846781,2379,4334.54305,400243,33,53,243,NA,NA,16,TRUE,NA,32031,16,3,American Samoa
Amer Samoa,2003,16,167.1274719,353896,2117.52141,600089,36,60,416,2996,89,3,TRUE,NA,32051,16,3,American Samoa
Amer Samoa,2003,16,487.4571228,943411,1935.372274,600143,36,60,416,1905,143,3,TRUE,NA,32055,16,3,American Samoa
Amer Samoa,2003,16,0.010886217,59,5419.697219,606456,33,60,289,442,6456,16,TRUE,NA,32083,16,3,American Samoa
Amer Samoa,2003,16,0.353348464,3018,8541.14368,590082,43,90013,90039,90082,NA,27,TRUE,NA,32046,16,3,American Samoa
Amer Samoa,2003,16,2.27476573,9811,4312.971604,400364,33,60,364,NA,NA,17,TRUE,NA,32033,16,3,American Samoa
Amer Samoa,2003,16,0.222713858,1003,4503.536551,605354,33,60,289,1533,5354,17,TRUE,NA,32080,16,3,American Samoa
Amer Samoa,2003,16,0.366502643,1537,4193.694178,601864,33,60,328,1144,1864,6,TRUE,NA,32076,16,3,American Samoa
Amer Samoa,2003,16,0.006350293,28,4409.245369,400076,23,36,76,NA,NA,15,TRUE,NA,32030,16,3,American Samoa
Amer Samoa,2003,16,0.325679332,1191,3656.971392,500901,33,60,289,901,NA,4,TRUE,NA,32041,16,3,American Samoa
Amer Samoa,2003,16,0.074389152,246,3306.933785,601853,33,60,328,1144,1853,17,TRUE,NA,32074,16,3,American Samoa
Amer Samoa,2003,16,0.008618255,37,4293.212489,500913,33,60,299,913,NA,5,TRUE,NA,32042,16,3,American Samoa
Amer Samoa,2003,16,0.746613026,3875,5190.105001,500372,39,60,360,372,NA,2,TRUE,NA,32037,16,3,American Samoa
Amer Samoa,2003,16,0.478539944,1551,3241.108751,600106,36,60,416,3020,106,18,TRUE,NA,32052,16,3,American Samoa
Amer Samoa,2003,16,0.078925073,395,5004.746717,601918,37,60,314,467,1918,17,TRUE,NA,32077,16,3,American Samoa
Amer Samoa,2003,16,0.014514956,64,4409.245195,600412,37,60,314,1690,412,3,TRUE,NA,32069,16,3,American Samoa
Amer Samoa,2003,16,1.102229476,4804,4358.439059,500480,33,60,412,480,NA,17,TRUE,NA,32039,16,3,American Samoa
Amer Samoa,2003,16,0.034019429,151,4438.640049,601862,33,60,328,1144,1862,17,TRUE,NA,32075,16,3,American Samoa
Amer Samoa,2003,16,0.174633056,921,5273.91561,509309,33,53,243,9309,NA,16,TRUE,NA,32044,16,3,American Samoa
Amer Samoa,2003,16,3.45637393,14969,4330.839285,400412,33,60,412,NA,NA,17,TRUE,NA,32034,16,3,American Samoa
Amer Samoa,2003,16,0.862732708,3612,4186.69649,601425,33,60,323,357,1425,17,TRUE,NA,32072,16,3,American Samoa
Amer Samoa,2003,16,0.008618255,46,5337.507419,601063,33,53,243,1130,1063,16,TRUE,NA,32071,16,3,American Samoa
Amer Samoa,2003,16,0.058513414,65,1110.856393,200004,38,NA,NA,NA,NA,21,TRUE,NA,32029,16,3,American Samoa
Amer Samoa,2003,16,0.083007403,183,2204.622641,601044,37,60,414,1346,1044,15,TRUE,NA,32070,16,3,American Samoa
Amer Samoa,2003,16,0.339740694,1270,3738.145069,500366,33,60,289,366,NA,17,TRUE,NA,32036,16,3,American Samoa
Amer Samoa,2003,16,0.050802346,224,4409.245195,400449,33,62,449,NA,NA,5,TRUE,NA,32035,16,3,American Samoa
Amer Samoa,2003,16,0.054884676,234,4263.48513,100042,42,NA,NA,NA,NA,27,TRUE,NA,32028,16,3,American Samoa
Amer Samoa,2003,16,0.060327787,307,5088.8656,606454,33,60,289,442,6454,17,TRUE,NA,32082,16,3,American Samoa
Amer Samoa,2003,16,0.055791862,247,4427.168966,605394,33,26,56,384,5394,18,TRUE,NA,32081,16,3,American Samoa
Amer Samoa,2003,16,0.002721554,10,3674.371333,500510,34,60,421,510,NA,9,TRUE,NA,32040,16,3,American Samoa
Australia,2000,36,39,423000,10846.15385,611997,39,60,355,541,11997,6,TRUE,NA,17427,36,7,Australia
Australia,2002,36,36,171000,4750,300044,32,44,NA,NA,NA,14,TRUE,NA,17548,36,7,Australia
Australia,2005,36,914.5697632,1635079.966,1787.813278,610106,39,60,355,1523,10106,5,TRUE,NA,17907,36,7,Australia
Australia,2002,36,184,302000,1641.304348,400015,38,11,15,NA,NA,20,TRUE,NA,17550,36,7,Australia
Australia,2005,36,359,3461000,9640.668524,610312,33,60,288,1227,10312,5,TRUE,NA,17908,36,7,Australia
Australia,1994,36,NA,NA,14946.79004,400416,36,60,416,NA,NA,3,TRUE,TRUE,41238,36,7,Australia
Australia,2002,36,87,767000,8816.091954,400362,33,60,362,NA,NA,16,TRUE,NA,17553,36,7,Australia
Australia,2004,36,2362.406982,18212169.98,7709.158548,600346,33,60,287,1113,346,6,TRUE,NA,17785,36,7,Australia
Australia,2002,36,154,1689000,10967.53247,100047,47,NA,NA,NA,NA,27,TRUE,NA,17544,36,7,Australia
Australia,1994,36,NA,NA,2791.050049,390002,57,90002,NA,NA,NA,25,TRUE,TRUE,41237,36,7,Australia
Australia,2000,36,538,2104000,3910.780669,608490,37,60,414,5622,8490,15,TRUE,NA,17424,36,7,Australia
Australia,2008,36,5210.990234,1905115.967,365.5957662,600029,32,44,183,9296,29,14,TRUE,NA,18151,36,7,Australia
Australia,2008,36,204.9517365,1704849.976,8318.299738,590013,57,90007,90012,90013,NA,25,TRUE,NA,18145,36,7,Australia
Australia,1992,36,NA,NA,18919.71094,490039,43,90013,90039,NA,NA,27,TRUE,TRUE,40984,36,7,Australia
Australia,2002,36,1074,3567000,3321.22905,400328,33,60,328,NA,NA,17,TRUE,NA,17551,36,7,Australia
Australia,2002,36,324,1552000,4790.123457,400330,33,60,330,NA,NA,5,TRUE,NA,17552,36,7,Australia
Australia,2002,36,4423,37418000,8459.868867,400419,36,60,419,NA,NA,3,TRUE,NA,17554,36,7,Australia
Australia,2002,36,1057,6112000,5782.403027,390002,57,90002,NA,NA,NA,25,TRUE,NA,17549,36,7,Australia
Australia,2008,36,4961.131836,165699890.6,33399.61446,590046,52,90011,90020,90046,NA,29,TRUE,NA,18146,36,7,Australia
Australia,1994,36,NA,NA,13157.98047,100045,45,NA,NA,NA,NA,26,TRUE,TRUE,41235,36,7,Australia
Australia,2008,36,48987.07813,44740136.01,913.3048493,590096,45,90013,90043,90096,NA,26,TRUE,NA,18150,36,7,Australia
Australia,2002,36,628,7356000,11713.3758,100043,43,NA,NA,NA,NA,27,TRUE,NA,17543,36,7,Australia
Australia,2008,36,240.2701874,6936330.078,28868.8753,590083,43,90013,90039,90083,NA,27,TRUE,NA,18148,36,7,Australia
Australia,2008,36,1098,6786000,6180.327869,590091,45,90013,90043,90091,NA,26,TRUE,NA,18149,36,7,Australia
Australia,2000,36,86,335000,3895.348837,611994,39,60,355,1523,11994,5,TRUE,NA,17426,36,7,Australia
Australia,2006,36,275.2944031,1759079.998,6389.81388,500816,38,8,11,816,NA,20,TRUE,NA,17947,36,7,Australia
Australia,1992,36,NA,NA,11364.84961,400416,36,60,416,NA,NA,3,TRUE,TRUE,40983,36,7,Australia
Australia,2002,36,18,47000,2611.111111,600107,36,60,416,6745,107,3,TRUE,NA,17582,36,7,Australia
Australia,2005,36,3378,6861000,2031.083481,611994,39,60,355,1523,11994,5,TRUE,NA,17909,36,7,Australia
Australia,1994,36,NA,NA,4126.990234,490055,55,90008,90055,NA,NA,29,TRUE,TRUE,41240,36,7,Australia
Australia,2001,36,118,3826000,32423.72881,690150,42,90013,90031,90062,90150,27,TRUE,NA,17539,36,7,Australia
Australia,2000,36,991,1814000,1830.474268,610106,39,60,355,1523,10106,5,TRUE,NA,17425,36,7,Australia
Australia,2002,36,6638,46761000,7044.441097,100042,42,NA,NA,NA,NA,27,TRUE,NA,17542,36,7,Australia
Australia,2000,36,152,718000,4723.684211,607972,33,60,307,891,7972,5,TRUE,NA,17421,36,7,Australia
Australia,2000,36,4747,3574000,752.8965663,605048,39,60,321,1752,5048,2,TRUE,NA,17417,36,7,Australia
Australia,2000,36,559,743000,1329.159213,608173,39,60,339,1359,8173,14,TRUE,NA,17422,36,7,Australia
Australia,2000,36,835,3941000,4719.760479,606426,33,60,330,903,6426,6,TRUE,NA,17419,36,7,Australia
Australia,2008,36,11255.4043,389588117.2,34613.42719,590078,43,90013,90039,90078,NA,27,TRUE,NA,18147,36,7,Australia
Australia,2003,36,1644,3808000,2316.301703,490058,56,90020,90058,NA,NA,29,TRUE,NA,17653,36,7,Australia
Australia,1988,36,NA,NA,9627,100045,45,NA,NA,NA,NA,26,TRUE,TRUE,39644,36,7,Australia
Australia,1988,36,NA,NA,5014.930176,100053,53,NA,NA,NA,NA,29,TRUE,TRUE,39645,36,7,Australia
Australia,1992,36,NA,NA,2143.580078,490055,55,90008,90055,NA,NA,29,TRUE,TRUE,40985,36,7,Australia
Australia,1994,36,NA,NA,27032.56055,490039,43,90013,90039,NA,NA,27,TRUE,TRUE,41239,36,7,Australia
Australia,1994,36,NA,NA,5732.140137,490097,42,90013,90097,NA,NA,27,TRUE,TRUE,41241,36,7,Australia
Australia,1994,36,NA,NA,5054.399902,100053,53,NA,NA,NA,NA,29,TRUE,TRUE,41236,36,7,Australia
Australia,2005,36,130,848000,6523.076923,607972,33,60,307,891,7972,5,TRUE,NA,17903,36,7,Australia
Australia,2005,36,505.2327576,1707160.034,3378.957537,608490,37,60,414,5622,8490,15,TRUE,NA,17906,36,7,Australia
Australia,2000,36,227,7.00E+05,3083.700441,607317,33,59,577,1595,7317,4,TRUE,NA,17420,36,7,Australia
Australia,2008,36,31397,20629000,657.0372966,507851,35,28,43,7851,NA,2,TRUE,NA,18142,36,7,Australia
Australia,2000,36,2515,10758000,4277.534791,605933,38,8,488,348,5933,20,TRUE,NA,17418,36,7,Australia
Australia,2008,36,146.2028961,324099.9966,2216.78233,509521,38,3,24,9521,NA,22,TRUE,NA,18144,36,7,Australia
Australia,2008,36,372.1254883,1215399.979,3266.102477,501464,38,10,14,1464,NA,20,TRUE,NA,18139,36,7,Australia
