"Species","LandedValue","Landings","ObservedPrice","FishingEntityName","Year"
"Price/Lb ($) Greater amberjack",861,0.15286062869,5632.58183208248,"American Samoa",2010
"Barracudas",1122,0.19277675725,5820.20372168077,"American Samoa",2010
"Bigeye bream",576,0.11838760857,4865.37406201109,"American Samoa",2010
"Paeony bulleye",49,0.0090718474,5401.3254235295,"American Samoa",2010
"Crabs",59,0.01043262451,5655.33629082947,"American Samoa",2010
"Eels",577,0.08708973504,6625.35027503512,"American Samoa",2010
"Ambon emperor",947,0.1632932532,5799.38228580775,"American Samoa",2010
"Longnose emperor",2066,0.36559545022,5651.05500836175,"American Samoa",2010
"Redgill emperor",4157,0.72529419963,5731.46731646364,"American Samoa",2010
"Emperors",2178,0.37920322132,5743.62209376392,"American Samoa",2010
"Filefishes",367,0.06304933943,5820.83814545684,"American Samoa",2010
"Flagtails",97,0.01451495584,6682.7623224791,"American Samoa",2010
"Goatfishes",31,0.00544310844,5695.27510644267,"American Samoa",2010
"Longspine grouper",289,0.04762719885,6067.96131156473,"American Samoa",2010
"Peacock grouper",590,0.10160469088,5806.81851290526,"American Samoa",2010
"Groupers",1735,0.28621678547,6061.83874628784,"American Samoa",2010
"Inshore groupers",1312,0.21999229945,5963.84511312494,"American Samoa",2010
"Black jack",1837,0.33021524536,5563.03812683544,"American Samoa",2010
"Jacks",38,0.00680388555,5585.04397535023,"American Samoa",2010
"Brown jobfish",56,0.00952543977,5878.9936582634,"American Samoa",2010
"Goldflag jobfish",620,0.10659420695,5816.4511725372,"American Samoa",2010
"Gray jobfish",2909,0.50938423151,5710.81674706865,"American Samoa",2010
"Silverjaw jobfish (lehi)",2992,0.49350849856,6062.71221008413,"American Samoa",2010
"Spiny lobster",15149,1.77127820485,8552.5808190492,"American Samoa",2010
"White - edged lyretail",795,0.13698489574,5803.5595508933,"American Samoa",2010
"Mackerel",25,0.0045359237,5511.55655462194,"American Samoa",2010
"Mahimahi",33949,6.1597843846,5511.39421127718,"American Samoa",2010
"Black marlin",100,0.0181436948,5511.55655462194,"American Samoa",2010
"Blue marlin",132211,34.2689035535,3858.04581677364,"American Samoa",2010
"Striped marlin",3314,1.37801362006,2404.9109179746,"American Samoa",2010
"Octopus",404,0.07166759446,5637.13632422092,"American Samoa",2010
"Moonfish",484,0.08799691978,5500.1925204887,"American Samoa",2010
"Parrotfishes",26605,4.19255427591,6345.77354260377,"American Samoa",2010
"Terapon perch",181,0.03129787353,5783.14050079172,"American Samoa",2010
"Pomfret",1052,0.21182763679,4966.30192330816,"American Samoa",2010
"Spiny pufferfish",96,0.02902991168,3306.93393277316,"American Samoa",2010
"Rabbitfishes",30,0.00544310844,5511.55655462194,"American Samoa",2010
"Rainbow runner",474,0.07801788764,6075.52978346698,"American Samoa",2010
"Humpback snapper",7068,1.1657323909,6063.14112499111,"American Samoa",2010
"Longtail snapper (onaga)",2348,0.38373914502,6118.73985354719,"American Samoa",2010
"Onespot snapper",216,0.03719457434,5807.29861365043,"American Samoa",2010
"Ruby snapper (ehu)",1660,0.2358680324,7037.8337543634,"American Samoa",2010
"Stone's snapper",32,0.00544310844,5878.9936582634,"American Samoa",2010
"Twinspot/red snapper",252,0.04581282937,5500.64258124645,"American Samoa",2010
"Pink snapper (opakapaka)",890,0.15558218291,5720.44936864551,"American Samoa",2010
"Soldierfishes",195,0.03401942775,5732.01881680682,"American Samoa",2010
"Spearfish",2581,1.01786127828,2535.7089959856,"American Samoa",2010
"Squirrelfishes",4234,0.73300526992,5776.22040897755,"American Samoa",2010
"Surgeonfishes/tangs",23063,3.93083147842,5867.20649984979,"American Samoa",2010
"Swordfish",30887,7.96689638668,3876.91749721266,"American Samoa",2010
"Bigeye trevally",137,0.0226796185,6040.66598386565,"American Samoa",2010
"Bluefin trevally",105,0.0136077711,7716.17917647071,"American Samoa",2010
"Trevallys",150,0.02540117272,5905.23916566636,"American Samoa",2010
"Triggerfishes",28,0.00498951607,5611.76667379688,"American Samoa",2010
"Albacore tuna",8653117,3924.98784791729,2204.62262184878,"American Samoa",2010
"Bigeye tuna",416894,171.72780332015,2427.64416675609,"American Samoa",2010
"Dogtooth tuna",443,0.08028584949,5517.78430214129,"American Samoa",2010
"Kawakawa",485,0.14651033551,3310.34666128996,"American Samoa",2010
"Skipjack tuna",153508,112.77258862177,1361.21731243444,"American Samoa",2010
"Yellowfin tuna",882488,440.74073738079,2002.28371274324,"American Samoa",2010
"Unicornfishes",15887,2.63809322392,6022.15261233004,"American Samoa",2010
"Wahoo",171494,127.52250530943,1344.81360434281,"American Samoa",2010
"Wrasses",356,0.06894604024,5163.45824590897,"American Samoa",2010
