x,TaxonKey,,,,Species,TaxonKey
Albacore,600142,,,,,
Albacore tuna,600142,,,,,
Amberjack,500928,,,,,
Ambon emperor,601853,,,,,
Angler flatfish,300061,,,,,
Barracudas,400360,,,,,
Barracudas,500372,,,,,
Barracudas (misc),500372,,,,,
Barred flagtail,605790,,,,,
Bigeye barracuda,605734,,,,,
Bigeye bream,500809,,,,,
Bigeye emperor,601869,,,,,
Bigeye scad,600387,,,,,
Bigeye squirrelfish,509309,,,,,
Bigeye trevally,601917,,,,,
Bigeye tuna,600146,,,,,
BigeyeTuna,600146,,,,,
Bigscale soldierfish,501129,,,,,
Black jack,601936,,,,,
Black Jack,601936,,,,,
Black marlin,600217,,,,,
Black snapper,600266,,,,,
Blacktip grouper,605348,,,,,
Blacktip reef shark,600877,,,,,
Blood snapper,600162,,,,,
Blue-lined gindai,600199,,,,,
Blue-lined snapper,600156,,,,,
Blue kingfish trevally,601906,,,,,
Blue lined gindai,600199,,,,,
Blue lined snapper,600156,,,,,
Blue marlin,600216,,,,,
Bluefin trevally,601906,,,,,
Bluefin tuna,614290,,,,,
Bluefin Tuna,614290,,,,,
Blueline bream,601834,,,,,
Bottomfish (assorted),NA,,,,,
Bottomfish (Assorted),NA,,,,,
Bottomfishes (unknown),NA,,,,,
Brown jobfish,502124,,,,,
Butterflyfishes,400343,,,,,
Cardinalfish,400304,,,,,
Christmas wrasse,605649,,,,,
Clams (misc),290004,,,,,
Conger eels,400062,,,,,
Crabs,490097,,,,,
Dogtooth tuna,600106,,,,,
Eels,509279,,,,,
Ehu (squirrelfish snap.),400243,,,,,
Emperors,501144,,,,,
Emperors (misc),501144,,,,,
Filefishes,501677,,,,,
Filefishes,500854,,,,,
Filefishes,400517,,,,,
Flagtail grouper,606456,,,,,
Flagtails,400301,,,,,
Flounders,503128,,,,,
Flounders,502906,,,,,
Flounders,500048,,,,,
Flower snapper (gindai),600211,,,,,
Giant clam,690147,,,,,
Giant grouper,606468,,,,,
Gindai (flower snap),600211,,,,,
Goatfish,507028,,,,,
Goatfishes,507028,,,,,
Goldflag jobfish,600200,,,,,
Goldspot trevally,601926,,,,,
Gray jobfish,502124,,,,,
Greasy grouper,604461,,,,,
Greater amberjack,601005,,,,,
Groupers,503028,,,,,
Groupers (misc),503028,,,,,
Hawaiian opakapaka,600201,,,,,
Hexagon grouper,604923,,,,,
Honeycomb grouper,604923,,,,,
Humpback snapper,600265,,,,,
Inshore groupers,500366,,,,,
Inshore snappers,400323,,,,,
Jacks,500467,,,,,
Jacks (misc),500467,,,,,
Kawakawa,600096,,,,,
Kusakar's snapper,600191,,,,,
Leatherback,601951,,,,,
Lehi (silverjaw),600083,,,,,
Longnose emperor,601864,,,,,
Longspine grouper,500366,,,,,
Longtail snapper (onaga),601385,,,,,
Lunartail grouper,606478,,,,,
Mackerel,500142,,,,,
Mahimahi,600006,,,,,
Milkfish,600080,,,,,
Miscellaneous,NA,,,,,
Monchong,603561,,,,,
