,Series N25-37.,,"Value of fish landed, by region and by major species, 1911 to 1975",,,,,,,,,,,,,,,,,,,
,,,(thousands of dollars),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Year1,,,,, East coast2,,,,,,,Inland,,,,,, West coast3,,,
,,,Cod,Haddock,Lobsters,Sword-,Herring,Redfish,Scallops,,White-,,Blue,,,Yellow,,Salmon,Herring,Halibut4,,
,,,,,,fish,and,,,,fish,,pickerel,,,pickerel,,,,,,
,,,,,,,sardines,,,,,,,,,,,,,,,
,,,25,26,27,28,29,30,31,,32,,33,,,34,,35,36,37,,
,,,,,,,,,,,,,,,,,,,,,,
,1975,,"30,599","7,119","48,378",9,"13,798","11,044","25,708",,"5,270",,,"3,764",5,,,"46,913","13,267","10,125",,
,1974,,"32,126","5,736","37,963",–,"13,445","9,480","18,572",,"4,086",,,"3,195",5,,,"73,998","12,043","5,440",,
,1973,,"29,670","6,427","40,568",2,"12,232","17,306","16,231",,"4,084",,,"3,114",5,,,"99,998","10,951","10,698",,
,1972,,"26,154","4,511","37,003",–,"12,661","9,478","19,508",,"3,811",,,"2,860",5,,,"50,341","2,726","13,684",,
,1971,,"25,132","5,980","33,211",–,"13,160","8,655","12,961",,"3,855",,,"2,063",5,,,"44,479",556,"8,135",,
,,,,,,,,,,,,,,,,,,,,,,
,1970,,"21,956","5,296","29,661","3,689","13,251","7,824","14,101",,"3,695",,,"2,547",5,,,"45,076",290,"10,588",,
,1969,,"21,569","6,778","29,527","4,105","11,202","5,751","12,202",,"4,566",,,"2,822",5,,,"27,810",221,"14,400",,
,1968,,"24,348","6,852","24,450","3,729","11,986","5,548","13,407",,"3,757",,,"2,451",5,,,"44,889",231,"7,348",,
,1967,,"23,679","6,803","23,256","3,292","8,189","4,969","7,760",,"3,220",,–,,,"2,133",,"36,001","1,828","6,631",,
,1966,,"25,099","8,036","22,038","3,214","6,217","5,083","7,446",,"3,507",,–,,,"3,965",,"38,654","5,107","11,471",,
,,,,,,,,,,,,,,,,,,,,,,
,1965,,"23,637","6,054","26,632","3,253","4,256","3,419","10,849",,"3,896",,–,,,"3,143",,"25,958","6,232","11,112",,
,1964,,"22,055","6,228","24,244","3,561","3,210","2,170","7,278",,"3,459",,–,,,"2,916",,"30,244","6,167","8,309",,
,1963,,"20,997","4,915","21,284","2,594","3,084","2,219","6,256",,"3,387",,–,,,"3,715",,"22,790","6,477","8,249",,
,1962,,"18,904","4,869","19,781","1,580","3,430","1,585","4,524",,"3,817",,–,,,"3,226",,"30,559","4,752","10,912",,
,1961,,"15,646","4,647","18,054","1,238","2,756","1,458","3,082",,"3,814",,1,,,"2,455",,"26,152","4,589","6,204",,
,,,,,,,,,,,,,,,,,,,,,,
,1960,,"16,538","3,685","18,031","1,342","3,682","1,172","2,021",,"3,494",,2,,,"3,020",,"18,401","2,178","4,379",,
