"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","Belgium","56,837,272",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Belgium","23,763",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,392",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Belgium","56,837,272",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Belgium","23,763",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,392",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Belgium","4,593,885",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Belgium","1,741",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,639",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","Belgium","52,243,387",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Belgium","22,022",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,372",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Belgium","56,837,272",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Belgium","23,763",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,392",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro","Belgium","52,243,387",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Belgium","22,022",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,372",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Belgium","41,196,475",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Belgium","14,387",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,863",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Belgium","6,295,438",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Belgium","4,240",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Belgium","1,485",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Belgium",":",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Belgium",":",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Belgium",":",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Belgium","1,701,696",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Belgium","703",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Belgium","2,421",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Belgium","23,392",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Belgium","143",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Belgium","163",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Belgium","10,944",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Belgium","23",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Belgium","486",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Belgium","2,002,136",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Belgium","1,647",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Belgium","1,216",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Belgium","1,013,306",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Belgium","880",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Belgium","1,152",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro","Belgium","3,965,844",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","Belgium","1,075",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","Belgium","3,688",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","Belgium","71,518",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","Belgium","75",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro/Tonne","Belgium","960",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro","Belgium","2,117,187",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Tonnes product weight","Belgium","420",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro/Tonne","Belgium","5,047",""
"1992","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro","Belgium","1,775,394",""
"1992","Total","Shrimps, prawns","All presentation forms","Human consumption","Tonnes product weight","Belgium","580",""
"1992","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro/Tonne","Belgium","3,063",""
"1992","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Euro","Belgium","1,746",""
"1992","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Tonnes product weight","Belgium","2",""
