"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro","Bulgaria","2,123,932",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","3,408",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","623",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Bulgaria","2,123,932",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","3,408",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","623",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Bulgaria","62,675",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","38",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","1,641",""
"2005","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","521",""
"2005","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro","Bulgaria","2,123,932",""
"2005","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","2,887",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","736",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Bulgaria","2,123,932",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","3,408",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","623",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Bulgaria","62,675",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","38",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","1,641",""
"2005","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","1",""
"2005","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Shads","All presentation forms","Human consumption","Euro","Bulgaria","62,675",""
"2005","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","38",""
"2005","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","1,662",""
"2005","Total","Marine fishes","All presentation forms","Human consumption","Euro","Bulgaria","2,061,257",""
"2005","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","2,849",""
"2005","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","724",""
"2005","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Bulgaria","101,673",""
"2005","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","13",""
"2005","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","7,943",""
"2005","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","3",""
"2005","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Bulgaria","67,528",""
"2005","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","58",""
"2005","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","1,170",""
"2005","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria",":",""
"2005","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Bulgaria","1,318,923",""
"2005","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","2,589",""
"2005","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","509",""
"2005","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Bulgaria","116,506",""
"2005","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","56",""
"2005","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","2,073",""
"2005","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Bulgaria","410,989",""
"2005","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","115",""
"2005","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","3,561",""
"2005","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Bulgaria","45,638",""
"2005","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","15",""
"2005","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Bulgaria","3,126",""
"2005","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","0",""
"2005","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Crustaceans","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","Bulgaria",":",""
"2005","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","Bulgaria",":",""
"2005","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Shrimps, prawns","All presentation forms","Human consumption","Tonnes product weight","Bulgaria",":",""
"2005","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Molluscs","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Molluscs","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","521",""
"2005","Total","Molluscs","All presentation forms","Human consumption","Euro/Tonne","Bulgaria",":",""
"2005","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Euro","Bulgaria",":",""
"2005","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Tonnes product weight","Bulgaria","511",""
