"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2004","Total","Total fishery products","All presentation forms","Human consumption","Euro","Cyprus","3,482,994",""
"2004","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Cyprus","774",""
"2004","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Cyprus","4,501",""
"2004","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Cyprus","3,482,994",""
"2004","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Cyprus","774",""
"2004","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Cyprus","4,501",""
"2004","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Cyprus","656,698",""
"2004","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Cyprus","102",""
"2004","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Cyprus","6,419",""
"2004","Total","Finfish","All presentation forms","Human consumption","Euro","Cyprus","2,826,295",""
"2004","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Cyprus","671",""
"2004","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Cyprus","4,209",""
"2004","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Cyprus","3,482,994",""
"2004","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Cyprus","774",""
"2004","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Cyprus","4,501",""
"2004","Total","Marine fishes","All presentation forms","Human consumption","Euro","Cyprus","2,826,295",""
"2004","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Cyprus","671",""
"2004","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Cyprus","4,209",""
"2004","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Cyprus","79,058",""
"2004","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Cyprus","12",""
"2004","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Cyprus","6,875",""
"2004","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Cyprus","1,058,005",""
"2004","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Cyprus","286",""
"2004","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Cyprus","3,703",""
"2004","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Cyprus","5,156",""
"2004","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Cyprus","2",""
"2004","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Cyprus","2,578",""
"2004","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Cyprus","1,671,178",""
"2004","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Cyprus","367",""
"2004","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Cyprus","4,554",""
"2004","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Cyprus","1,994",""
"2004","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Cyprus","1",""
"2004","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Cyprus","1,796",""
"2004","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Cyprus","10,905",""
"2004","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Cyprus","4",""
"2004","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Cyprus","2,578",""
"2004","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Crustaceans","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Shrimps, prawns","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Euro","Cyprus",":",""
"2004","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Tonnes product weight","Cyprus",":",""
"2004","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Euro/Tonne","Cyprus",":",""
"2004","Total","Molluscs","All presentation forms","Human consumption","Euro","Cyprus","656,698",""
