"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","Denmark","375,698,917",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Denmark","539,804",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Denmark","696",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Denmark","375,698,917",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Denmark","539,804",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Denmark","696",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Denmark","11,349,050",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Denmark","2,929",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Denmark","3,875",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Denmark","49,372,765",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Denmark","151,472",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Denmark","326",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","Denmark","326,326,120",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Denmark","388,332",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Denmark","840",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Denmark","375,698,885",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Denmark","539,804",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Denmark","696",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Denmark","1,040,237",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Denmark","681",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Denmark","1,528",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Denmark","5,392",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Denmark","21",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Denmark","257",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Denmark","1,034,846",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Denmark","660",""
