"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro","Estonia","9,862,840",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Estonia","69,406",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Estonia","142",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Estonia","9,862,840",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Estonia","69,406",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Estonia","142",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Estonia",":",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Estonia",":",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Estonia",":",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro","Estonia","9,862,840",""
"2005","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Estonia","69,406",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Estonia","142",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Estonia","9,862,840",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Estonia","69,406",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Estonia","142",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Estonia",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Estonia",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Estonia",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Estonia",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Estonia",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Estonia",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Estonia",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Estonia",":",""
