"TIME","GEO","SPECIES","PRES","DEST","UNIT","NATVESSR","Value","Flag and Footnotes"
"1997","Finland","Total fishery products","All presentation forms","Human consumption","Euro","Total","19,085,742",""
"1997","Finland","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Total","33,874",""
"1997","Finland","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Total","563",""
"1997","Finland","Aquatic animals","All presentation forms","Human consumption","Euro","Total","19,085,742",""
"1997","Finland","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Total","33,874",""
"1997","Finland","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Total","563",""
"1997","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Total","7,241,032",""
"1997","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Total","3,390",""
"1997","Finland","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Total","2,136",""
"1997","Finland","Finfish","All presentation forms","Human consumption","Euro","Total","19,085,742",""
"1997","Finland","Finfish","All presentation forms","Human consumption","Tonnes product weight","Total","33,874",""
"1997","Finland","Finfish","All presentation forms","Human consumption","Euro/Tonne","Total","563",""
"1997","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Total","19,085,742",""
"1997","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Total","33,874",""
"1997","Finland","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Total","563",""
"1997","Finland","Freshwater fishes","All presentation forms","Human consumption","Euro","Total","2,844,135",""
"1997","Finland","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,507",""
"1997","Finland","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Total","1,888",""
"1997","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Total","2,844,135",""
"1997","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,507",""
"1997","Finland","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Total","1,888",""
"1997","Finland","Diadromous fishes","All presentation forms","Human consumption","Euro","Total","4,396,898",""
"1997","Finland","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Total","1,883",""
"1997","Finland","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Total","2,335",""
"1997","Finland","River eels","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","River eels","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","River eels","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Total","4,396,898",""
"1997","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Total","1,883",""
"1997","Finland","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Total","2,335",""
"1997","Finland","Marine fishes","All presentation forms","Human consumption","Euro","Total","11,844,710",""
"1997","Finland","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Total","30,485",""
"1997","Finland","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Total","389",""
"1997","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Total","28,944",""
"1997","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Total","12",""
"1997","Finland","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Total","2,495",""
"1997","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Total","7,370,397",""
"1997","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Total","28,318",""
"1997","Finland","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Total","260",""
"1997","Finland","Marine fishes not identified","All presentation forms","Human consumption","Euro","Total","4,445,369",""
"1997","Finland","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Total","2,155",""
"1997","Finland","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Total","2,063",""
"1997","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro","Total","28,944",""
"1997","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Tonnes product weight","Total","12",""
"1997","Finland","Northern cods nei - Gadus spp","All presentation forms","Human consumption","Euro/Tonne","Total","2,495",""
"1997","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Atlantic cod - Gadus morhua","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","European eel - Anguilla anguilla","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Freshwater bream - Abramis brama","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Burbot - Lota lota","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Burbot - Lota lota","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Burbot - Lota lota","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Orfe (=Ide) - Leuciscus idus","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Orfe (=Ide) - Leuciscus idus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Orfe (=Ide) - Leuciscus idus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Finfishes nei - Osteichthyes","All presentation forms","Human consumption","Euro","Total","4,445,369",""
"1997","Finland","Finfishes nei - Osteichthyes","All presentation forms","Human consumption","Tonnes product weight","Total","2,155",""
"1997","Finland","Finfishes nei - Osteichthyes","All presentation forms","Human consumption","Euro/Tonne","Total","2,063",""
"1997","Finland","European flounder - Platichthys flesus","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","European flounder - Platichthys flesus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","European flounder - Platichthys flesus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","European perch - Perca fluviatilis","All presentation forms","Human consumption","Euro","Total","677,386",""
"1997","Finland","European perch - Perca fluviatilis","All presentation forms","Human consumption","Tonnes product weight","Total","759",""
"1997","Finland","European perch - Perca fluviatilis","All presentation forms","Human consumption","Euro/Tonne","Total","892",""
"1997","Finland","Northern pike - Esox lucius","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Northern pike - Esox lucius","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Northern pike - Esox lucius","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Pike-perch - Stizostedion lucioperca","All presentation forms","Human consumption","Euro","Total","2,166,748",""
"1997","Finland","Pike-perch - Stizostedion lucioperca","All presentation forms","Human consumption","Tonnes product weight","Total","747",""
"1997","Finland","Pike-perch - Stizostedion lucioperca","All presentation forms","Human consumption","Euro/Tonne","Total","2,899",""
"1997","Finland","Roach - Rutilus rutilus","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Roach - Rutilus rutilus","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Roach - Rutilus rutilus","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Vendace - Coregonus albula","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","Vendace - Coregonus albula","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
"1997","Finland","Vendace - Coregonus albula","All presentation forms","Human consumption","Euro/Tonne","Total",":",""
"1997","Finland","Atlantic herring - Clupea harengus","All presentation forms","Human consumption","Euro","Total","5,695,670",""
"1997","Finland","Atlantic herring - Clupea harengus","All presentation forms","Human consumption","Tonnes product weight","Total","22,317",""
"1997","Finland","Atlantic herring - Clupea harengus","All presentation forms","Human consumption","Euro/Tonne","Total","255",""
"1997","Finland","European plaice - Pleuronectes platessa","All presentation forms","Human consumption","Euro","Total",":",""
"1997","Finland","European plaice - Pleuronectes platessa","All presentation forms","Human consumption","Tonnes product weight","Total",":",""
