"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1999","Total","Total fishery products","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Aquatic animals","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Finfish","All presentation forms","Human consumption","Euro","France","39,614,662",""
"1999","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","France","24,314",""
"1999","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","France","1,629",""
"1999","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","France",":",""
"1999","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","France",":",""
"1999","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","France",":",""
"1999","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Euro","France",":",""
