"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","158,992,474",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","198,413",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","801",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","158,992,474",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","198,413",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","801",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","27,632,710",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","58,951",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","469",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","131,359,765",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","139,462",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","942",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","158,992,474",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","198,413",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","801",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Tilapias and other cichlids","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Tilapias and other cichlids","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Tilapias and other cichlids","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","131,359,765",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","139,462",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","942",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","9,531,447",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","2,935",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","3,248",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","40,057,197",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","30,070",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","1,332",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","45,811,389",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","31,133",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","1,471",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","11,318,413",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","34,602",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","327",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)",":",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","10,321,904",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","32,136",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","321",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","36,249",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","54",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","669",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","14,283,167",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","8,532",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","1,674",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","16,380,923",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","7,717",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","2,123",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","14,565",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","8",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","1,892",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro","Germany (until 1990 former territory of the FRG)","18,248",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Tonnes product weight","Germany (until 1990 former territory of the FRG)","2",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro/Tonne","Germany (until 1990 former territory of the FRG)","7,934",""
