"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","Greece","290,294,956",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Greece","132,004",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Greece","2,199",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Greece","290,294,956",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Greece","132,004",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Greece","2,199",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Greece",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Greece",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Greece",":",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Greece","46,403,203",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Greece","14,971",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Greece","3,100",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","Greece","243,891,753",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Greece","117,033",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Greece","2,084",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Greece","290,294,956",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Greece","132,004",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Greece","2,199",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Greece",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Greece",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Greece",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Greece",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Greece",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Greece",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Greece",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Greece",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Greece",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro","Greece",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Greece",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Greece",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro","Greece",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","Greece",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","Greece",":",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro","Greece","243,891,753",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Greece","117,033",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Greece","2,084",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Greece","16,730,120",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Greece","2,111",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Greece","7,926",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Greece","15,729,613",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Greece","5,627",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Greece","2,796",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Greece","28,883,904",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Greece","18,551",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Greece","1,557",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Greece","1,474,071",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Greece","855",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Greece","1,723",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Greece","26,700,143",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Greece","32,542",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Greece","820",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Greece","13,196,682",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Greece","3,387",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Greece","3,897",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Greece","10,584,069",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Greece","11,252",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Greece","941",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Greece","275,942",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Greece","191",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Greece","1,442",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Greece","130,317,209",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Greece","42,518",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Greece","3,065",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro","Greece","22,586,147",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","Greece","4,833",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","Greece","4,674",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","Greece","400,923",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","Greece","287",""
