"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1998","Total","Total fishery products","All presentation forms","Human consumption","Euro","Iceland","629,707,037",""
"1998","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Iceland","540,630",""
"1998","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,165",""
"1998","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Iceland","629,707,037",""
"1998","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Iceland","540,630",""
"1998","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,165",""
"1998","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Iceland","87,549,296",""
"1998","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Iceland","74,844",""
"1998","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,170",""
"1998","Total","Finfish","All presentation forms","Human consumption","Euro","Iceland","542,157,741",""
"1998","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Iceland","465,787",""
"1998","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,164",""
"1998","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Iceland","629,707,037",""
"1998","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Iceland","540,630",""
"1998","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,165",""
"1998","Total","Marine fishes","All presentation forms","Human consumption","Euro","Iceland","542,157,741",""
"1998","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Iceland","465,787",""
"1998","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,164",""
"1998","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Iceland","41,775,397",""
"1998","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Iceland","24,767",""
"1998","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,687",""
"1998","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Iceland","346,331,947",""
"1998","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Iceland","319,334",""
"1998","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,085",""
"1998","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Iceland",":",""
"1998","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Iceland",":",""
"1998","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Iceland",":",""
"1998","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Iceland","153,142,094",""
"1998","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Iceland","119,160",""
"1998","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Iceland","1,285",""
"1998","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Iceland","230,472",""
"1998","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Iceland","484",""
"1998","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Iceland","476",""
"1998","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Iceland","15,477",""
"1998","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Iceland","2",""
"1998","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Iceland","8,411",""
"1998","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Iceland","303,260",""
"1998","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Iceland","591",""
"1998","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Iceland","513",""
"1998","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Iceland","359,094",""
"1998","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Iceland","1,450",""
"1998","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Iceland","248",""
"1998","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Iceland",":",""
