"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","Ireland","112,912,498",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Ireland","186,170",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Ireland","607",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Ireland","112,912,498",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Ireland","186,170",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Ireland","607",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Ireland",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Ireland",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Ireland",":",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Ireland","37,996,079",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Ireland","28,452",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Ireland","1,335",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","Ireland","74,916,419",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Ireland","157,719",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Ireland","475",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Ireland","112,912,498",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Ireland","186,170",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Ireland","607",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Ireland",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Ireland",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Ireland",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Ireland",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Ireland",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Ireland",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Ireland",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Ireland",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Ireland",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro","Ireland",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Ireland",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Ireland",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Ireland",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Ireland",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Ireland",":",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro","Ireland","74,916,419",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Ireland","157,719",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Ireland","475",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Ireland","12,717,245",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Ireland","5,605",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Ireland","2,269",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Ireland","24,143,588",""
