"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","Italy","1,335,503,429",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Italy","355,914",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Italy","3,752",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Italy","1,335,503,429",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Italy","355,914",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Italy","3,752",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Italy","506,460,233",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Italy","135,205",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Italy","3,746",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","Italy","829,043,196",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Italy","220,709",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Italy","3,756",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Italy","1,335,503,429",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Italy","355,914",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Italy","3,752",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro","Italy","829,043,196",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Italy","220,709",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Italy","3,756",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Italy","169,233,878",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Italy","16,732",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Italy","10,114",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Italy","108,749,913",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Italy","29,203",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Italy","3,724",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Italy","19,863,849",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Italy","10,709",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Italy","1,855",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Italy","59,591,423",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Italy","42,635",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Italy","1,398",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Italy","18,710,671",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Italy","3,517",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Italy","5,320",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Italy","14,701,726",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Italy","10,725",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Italy","1,371",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Italy","10,048,885",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Italy","4,479",""
"1992","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Italy","2,244",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Italy","428,142,852",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Italy","102,709",""
"1992","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Italy","4,169",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro","Italy","219,486,695",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","Italy","36,510",""
"1992","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","Italy","6,012",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro","Italy","54,893,291",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Tonnes product weight","Italy","5,634",""
"1992","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro/Tonne","Italy","9,743",""
"1992","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Shrimps, prawns","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Euro","Italy","164,593,405",""
"1992","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Tonnes product weight","Italy","30,876",""
"1992","Total","Miscellaneous marine crustaceans","All presentation forms","Human consumption","Euro/Tonne","Italy","5,331",""
"1992","Total","Molluscs","All presentation forms","Human consumption","Euro","Italy","286,973,538",""
"1992","Total","Molluscs","All presentation forms","Human consumption","Tonnes product weight","Italy","98,695",""
"1992","Total","Molluscs","All presentation forms","Human consumption","Euro/Tonne","Italy","2,908",""
"1992","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Abalones, winkles, conchs","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Scallops, pectens","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Scallops, pectens","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Scallops, pectens","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Clams, cockles, arkshells","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Euro","Italy","140,004,725",""
"1992","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Tonnes product weight","Italy","36,608",""
"1992","Total","Squids, cuttlefishes, octopuses","All presentation forms","Human consumption","Euro/Tonne","Italy","3,824",""
"1992","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Euro","Italy","146,968,813",""
"1992","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Tonnes product weight","Italy","62,087",""
"1992","Total","Miscellaneous marine molluscs","All presentation forms","Human consumption","Euro/Tonne","Italy","2,367",""
"1992","Total","Albacore - Thunnus alalunga","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Albacore - Thunnus alalunga","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Albacore - Thunnus alalunga","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Greater amberjack - Seriola dumerili","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Greater amberjack - Seriola dumerili","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Greater amberjack - Seriola dumerili","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","European anchovy - Engraulis encrasicolus","All presentation forms","Human consumption","Euro","Italy","41,506,236",""
"1992","Total","European anchovy - Engraulis encrasicolus","All presentation forms","Human consumption","Tonnes product weight","Italy","17,525",""
"1992","Total","European anchovy - Engraulis encrasicolus","All presentation forms","Human consumption","Euro/Tonne","Italy","2,368",""
"1992","Total","Blue and red shrimp - Aristeus antennatus","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Blue and red shrimp - Aristeus antennatus","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
"1992","Total","Blue and red shrimp - Aristeus antennatus","All presentation forms","Human consumption","Euro/Tonne","Italy",":",""
"1992","Total","Aristeid shrimps nei - Aristeidae","All presentation forms","Human consumption","Euro","Italy",":",""
"1992","Total","Aristeid shrimps nei - Aristeidae","All presentation forms","Human consumption","Tonnes product weight","Italy",":",""
