"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro","Latvia","16,426,630",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Latvia","90,598",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Latvia","181",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Latvia","16,426,630",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Latvia","90,598",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Latvia","181",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Latvia","23,945",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Latvia","12",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Latvia","1,947",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro","Latvia","16,426,630",""
"2005","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Latvia","90,598",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Latvia","181",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Latvia","16,426,630",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Latvia","90,598",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Latvia","181",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Latvia",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Latvia",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Latvia",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Latvia",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Latvia",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Latvia",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Latvia",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Latvia",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Latvia",":",""
