"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro","Lithuania","4,565,315",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Lithuania","6,875",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Lithuania","664",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Lithuania","4,565,315",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Lithuania","6,875",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Lithuania","664",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Lithuania",":",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Lithuania",":",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Lithuania",":",""
"2005","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Lithuania",":",""
"2005","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Lithuania",":",""
"2005","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Lithuania",":",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro","Lithuania","4,565,315",""
"2005","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Lithuania","6,875",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Lithuania","664",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Lithuania","4,565,315",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Lithuania","6,875",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Lithuania","664",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Lithuania",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Lithuania",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Lithuania",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Lithuania",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Lithuania",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Lithuania",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Lithuania",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Lithuania",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Lithuania",":",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Lithuania",":",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Lithuania",":",""
