"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2003","Total","Total fishery products","All presentation forms","Human consumption","Euro","Malta","4,277,954",""
"2003","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Malta","1,068",""
"2003","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Malta","4,005",""
"2003","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Malta","4,277,954",""
"2003","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Malta","1,068",""
"2003","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Malta","4,005",""
"2003","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Malta","642,929",""
"2003","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Malta","41",""
"2003","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Malta","15,574",""
"2003","Total","Finfish","All presentation forms","Human consumption","Euro","Malta","3,635,025",""
"2003","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Malta","1,027",""
"2003","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Malta","3,540",""
"2003","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Malta","4,277,954",""
"2003","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Malta","1,068",""
"2003","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Malta","4,005",""
"2003","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","River eels","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Shads","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Marine fishes","All presentation forms","Human consumption","Euro","Malta","3,635,025",""
"2003","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Malta","1,027",""
"2003","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Malta","3,540",""
"2003","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Malta","229,524",""
"2003","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Malta","39",""
"2003","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Malta","5,959",""
"2003","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Malta","228,090",""
"2003","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Malta","37",""
"2003","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Malta","6,223",""
"2003","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Malta","1,917,956",""
"2003","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Malta","360",""
"2003","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Malta","5,334",""
"2003","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Malta","966,677",""
"2003","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Malta","528",""
"2003","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Malta","1,829",""
"2003","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Malta","53,466",""
"2003","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Malta","23",""
"2003","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Malta","2,277",""
"2003","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Malta","239,312",""
"2003","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Malta","40",""
"2003","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Malta","5,949",""
"2003","Total","Crustaceans","All presentation forms","Human consumption","Euro","Malta","617,498",""
"2003","Total","Crustaceans","All presentation forms","Human consumption","Tonnes product weight","Malta","37",""
"2003","Total","Crustaceans","All presentation forms","Human consumption","Euro/Tonne","Malta","16,801",""
"2003","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Crabs, sea-spiders","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro","Malta",":",""
"2003","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Tonnes product weight","Malta",":",""
"2003","Total","Lobsters, spiny-rock lobsters","All presentation forms","Human consumption","Euro/Tonne","Malta",":",""
"2003","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro","Malta","617,498",""
"2003","Total","Shrimps, prawns","All presentation forms","Human consumption","Tonnes product weight","Malta","37",""
"2003","Total","Shrimps, prawns","All presentation forms","Human consumption","Euro/Tonne","Malta","16,801",""
