"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","Netherlands","310,175,642",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Netherlands","479,748",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Netherlands","647",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Netherlands","310,175,642",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Netherlands","479,748",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Netherlands","647",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Netherlands","18,297,630",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Netherlands","7,309",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Netherlands","2,503",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","Netherlands","291,878,012",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Netherlands","472,439",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Netherlands","618",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Netherlands","310,175,642",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Netherlands","479,748",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Netherlands","647",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro","Netherlands","291,878,012",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands","472,439",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands","618",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Netherlands","228,279,819",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Netherlands","86,835",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Netherlands","2,629",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Netherlands","32,393,041",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Netherlands","32,267",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Netherlands","1,004",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands","258",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Netherlands","4,640,903",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Netherlands","123,188",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Netherlands","38",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Netherlands",":",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Netherlands",":",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Netherlands",":",""
