"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1995","Total","Total fishery products","All presentation forms","Human consumption","Euro","Norway","1,026,369,924",""
"1995","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Norway","1,411,576",""
"1995","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Norway","727",""
"1995","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Norway","1,026,369,924",""
"1995","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Norway","1,411,576",""
"1995","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Norway","727",""
"1995","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Norway","5,525,727",""
"1995","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Norway","989",""
"1995","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Norway","5,587",""
"1995","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Norway","97,194,284",""
"1995","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Norway","42,470",""
"1995","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Norway","2,289",""
"1995","Total","Finfish","All presentation forms","Human consumption","Euro","Norway","929,175,640",""
"1995","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Norway","1,369,106",""
"1995","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Norway","679",""
"1995","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Norway","1,026,369,924",""
"1995","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Norway","1,411,576",""
"1995","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Norway","727",""
"1995","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Norway",":",""
"1995","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Norway",":",""
"1995","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Norway",":",""
"1995","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Norway",":",""
"1995","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Norway",":",""
"1995","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Norway",":",""
"1995","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Norway","5,525,727",""
"1995","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Norway","989",""
"1995","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Norway","5,587",""
"1995","Total","River eels","All presentation forms","Human consumption","Euro","Norway","2,298,341",""
"1995","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Norway","454",""
"1995","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Norway","5,068",""
"1995","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Norway","3,227,387",""
"1995","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Norway","536",""
"1995","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Norway","6,027",""
"1995","Total","Marine fishes","All presentation forms","Human consumption","Euro","Norway","923,649,913",""
"1995","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Norway","1,368,117",""
"1995","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Norway","675",""
"1995","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Norway","30,036,953",""
"1995","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Norway","12,117",""
"1995","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Norway","2,479",""
"1995","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Norway","657,934,948",""
"1995","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Norway","575,763",""
"1995","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Norway","1,143",""
"1995","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Norway","207,605",""
"1995","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Norway","230",""
"1995","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Norway","904",""
