"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro","Poland","27,134,241",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Poland","48,468",""
"2005","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Poland","560",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Poland","27,134,241",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Poland","48,468",""
"2005","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Poland","560",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro","Poland","27,134,241",""
"2005","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Poland","48,468",""
"2005","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Poland","560",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Poland","27,134,241",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Poland","48,468",""
"2005","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Poland","560",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","River eels","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Marine fishes","All presentation forms","Human consumption","Euro","Poland","27,134,241",""
"2005","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Poland","48,468",""
"2005","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Poland","560",""
"2005","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Poland","20,765",""
"2005","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Poland","25",""
"2005","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Poland","834",""
"2005","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Poland","15,490,951",""
"2005","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Poland","11,060",""
"2005","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Poland","1,401",""
"2005","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
"2005","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Poland",":",""
"2005","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","Poland",":",""
"2005","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","Poland",":",""
