"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2006","Total","Total fishery products","All presentation forms","Human consumption","Euro","Romania","582,926",""
"2006","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Romania","615",""
"2006","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Romania","948",""
"2006","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Romania","582,926",""
"2006","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Romania","615",""
"2006","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Romania","948",""
"2006","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Romania","3,256",""
"2006","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Romania","4",""
"2006","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Romania","788",""
"2006","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Romania",":",""
"2006","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Romania",":",""
"2006","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Romania",":",""
"2006","Total","Finfish","All presentation forms","Human consumption","Euro","Romania","582,926",""
"2006","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Romania","615",""
"2006","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Romania","948",""
"2006","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Romania","582,926",""
"2006","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Romania","615",""
"2006","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Romania","948",""
"2006","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Romania","504",""
"2006","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Romania","0",""
"2006","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Romania","1,702",""
"2006","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Romania","504",""
"2006","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Romania","0",""
"2006","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Romania","1,702",""
"2006","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Romania","2,753",""
"2006","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Romania","4",""
"2006","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Romania","718",""
"2006","Total","Shads","All presentation forms","Human consumption","Euro","Romania","2,753",""
"2006","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","Romania","4",""
"2006","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","Romania","718",""
"2006","Total","Marine fishes","All presentation forms","Human consumption","Euro","Romania","579,670",""
"2006","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Romania","611",""
"2006","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Romania","949",""
"2006","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Romania","180,101",""
"2006","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Romania","32",""
"2006","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Romania","5,672",""
"2006","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Romania","1,369",""
"2006","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Romania","5",""
"2006","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Romania","284",""
"2006","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Romania","24,817",""
"2006","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Romania","24",""
"2006","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","Romania","1,014",""
"2006","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","Romania","320,824",""
"2006","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","Romania","502",""
"2006","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","Romania","640",""
"2006","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","Romania","545",""
"2006","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","Romania","0",""
"2006","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","Romania","3,403",""
"2006","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","Romania","12,558",""
"2006","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","Romania","8",""
"2006","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro/Tonne","Romania","1,493",""
"2006","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro","Romania","16,873",""
"2006","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Tonnes product weight","Romania","8",""
"2006","Total","Sharks, rays, chimaeras","All presentation forms","Human consumption","Euro/Tonne","Romania","2,127",""
"2006","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro","Romania","22,583",""
"2006","Total","Marine fishes not identified","All presentation forms","Human consumption","Tonnes product weight","Romania","32",""
"2006","Total","Marine fishes not identified","All presentation forms","Human consumption","Euro/Tonne","Romania","709",""
"2006","Total","Molluscs","All presentation forms","Human consumption","Euro","Romania",":",""
"2006","Total","Molluscs","All presentation forms","Human consumption","Tonnes product weight","Romania",":",""
