"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"2002","Total","Total fishery products","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Slovenia","1,456",""
"2002","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":","z"
"2002","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Slovenia","1,456",""
"2002","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":","z"
"2002","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Slovenia",":","z"
"2002","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Slovenia","50",""
"2002","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":","z"
"2002","Total","Finfish","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Slovenia","1,406",""
"2002","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":","z"
"2002","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Slovenia","1,456",""
"2002","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":","z"
"2002","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Slovenia",":",""
"2002","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Slovenia",":",""
"2002","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Slovenia",":",""
"2002","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Slovenia",":",""
"2002","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Slovenia",":","z"
"2002","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","River eels","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Slovenia",":","z"
"2002","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Slovenia",":",""
"2002","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Slovenia",":",""
"2002","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","Shads","All presentation forms","Human consumption","Euro","Slovenia",":",""
"2002","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","Slovenia",":",""
"2002","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","Marine fishes","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","Slovenia","1,406",""
"2002","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":","z"
"2002","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","Slovenia","5",""
"2002","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":","z"
"2002","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","Slovenia",":",""
"2002","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","Slovenia","22",""
"2002","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","Slovenia",":",""
"2002","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","Slovenia",":","z"
"2002","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","Slovenia","52",""
