"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1995","Total","Total fishery products","All presentation forms","Human consumption","Euro","Sweden","68,762,019",""
"1995","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","Sweden","92,603",""
"1995","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","Sweden","743",""
"1995","Total","Aquatic animals","All presentation forms","Human consumption","Euro","Sweden","68,762,019",""
"1995","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","Sweden","92,603",""
"1995","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","Sweden","743",""
"1995","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","Sweden","16,312,948",""
"1995","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","Sweden","3,691",""
"1995","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","Sweden","4,419",""
"1995","Total","Finfish","All presentation forms","Human consumption","Euro","Sweden","52,449,072",""
"1995","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","Sweden","88,912",""
"1995","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","Sweden","590",""
"1995","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","Sweden","68,762,019",""
"1995","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","Sweden","92,603",""
"1995","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","Sweden","743",""
"1995","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","Carps, barbels and other cyprinids","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","Sturgeons, paddlefishes","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","River eels","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
"1995","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","Sweden",":",""
"1995","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Euro","Sweden",":",""
"1995","Total","Miscellaneous diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","Sweden",":",""
