"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro","United Kingdom","914,103,799",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","470,771",""
"1992","Total","Total fishery products","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","1,942",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro","United Kingdom","914,103,799",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","470,771",""
"1992","Total","Aquatic animals","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","1,942",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","Freshwater and diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro","United Kingdom","172,787,240",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","92,375",""
"1992","Total","Crustaceans and molluscs","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","1,871",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro","United Kingdom","741,316,559",""
"1992","Total","Finfish","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","378,396",""
"1992","Total","Finfish","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","1,959",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro","United Kingdom","914,103,799",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","470,771",""
"1992","Total","Finfish and invertebrates","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","1,942",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","Freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","Miscellaneous freshwater fishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","Diadromous fishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","River eels","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","Salmons, trouts, smelts","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","Shads","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro","United Kingdom","741,316,559",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","378,396",""
"1992","Total","Marine fishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","1,959",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro","United Kingdom","96,446,385",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","35,620",""
"1992","Total","Flounders, halibuts, soles","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","2,708",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro","United Kingdom","511,326,207",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","183,573",""
"1992","Total","Cods, hakes, haddocks","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","2,785",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro","United Kingdom","544,223",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","78",""
"1992","Total","Miscellaneous coastal fishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","6,967",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro","United Kingdom","32,580,168",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","7,394",""
"1992","Total","Miscellaneous demersal fishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","4,406",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro","United Kingdom","8,326,298",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","53,803",""
"1992","Total","Herrings, sardines, anchovies","All presentation forms","Human consumption","Euro/Tonne","United Kingdom","155",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro","United Kingdom",":",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom",":",""
"1992","Total","Tunas, bonitos, billfishes","All presentation forms","Human consumption","Euro/Tonne","United Kingdom",":",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Euro","United Kingdom","11,285,304",""
"1992","Total","Miscellaneous pelagic fishes","All presentation forms","Human consumption","Tonnes product weight","United Kingdom","56,145",""
