"TIME","NATVESSR","SPECIES","PRES","DEST","UNIT","GEO","Value","Flag and Footnotes"
"1998","Total","Total fishery products","All presentation forms","Industrial uses","Euro","Iceland","86,378,335",""
"1998","Total","Total fishery products","All presentation forms","Industrial uses","Tonnes product weight","Iceland","887,892",""
"1998","Total","Total fishery products","All presentation forms","Industrial uses","Euro/Tonne","Iceland","97",""
"1998","Total","Aquatic animals","All presentation forms","Industrial uses","Euro","Iceland","86,378,335",""
"1998","Total","Aquatic animals","All presentation forms","Industrial uses","Tonnes product weight","Iceland","887,892",""
"1998","Total","Aquatic animals","All presentation forms","Industrial uses","Euro/Tonne","Iceland","97",""
"1998","Total","Crustaceans and molluscs","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Crustaceans and molluscs","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Crustaceans and molluscs","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Finfish","All presentation forms","Industrial uses","Euro","Iceland","86,378,335",""
"1998","Total","Finfish","All presentation forms","Industrial uses","Tonnes product weight","Iceland","887,892",""
"1998","Total","Finfish","All presentation forms","Industrial uses","Euro/Tonne","Iceland","97",""
"1998","Total","Finfish and invertebrates","All presentation forms","Industrial uses","Euro","Iceland","86,378,335",""
"1998","Total","Finfish and invertebrates","All presentation forms","Industrial uses","Tonnes product weight","Iceland","887,892",""
"1998","Total","Finfish and invertebrates","All presentation forms","Industrial uses","Euro/Tonne","Iceland","97",""
"1998","Total","Marine fishes","All presentation forms","Industrial uses","Euro","Iceland","86,378,335",""
"1998","Total","Marine fishes","All presentation forms","Industrial uses","Tonnes product weight","Iceland","887,892",""
"1998","Total","Marine fishes","All presentation forms","Industrial uses","Euro/Tonne","Iceland","97",""
"1998","Total","Flounders, halibuts, soles","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Flounders, halibuts, soles","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Flounders, halibuts, soles","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Cods, hakes, haddocks","All presentation forms","Industrial uses","Euro","Iceland","6,825,809",""
"1998","Total","Cods, hakes, haddocks","All presentation forms","Industrial uses","Tonnes product weight","Iceland","63,137",""
"1998","Total","Cods, hakes, haddocks","All presentation forms","Industrial uses","Euro/Tonne","Iceland","108",""
"1998","Total","Miscellaneous coastal fishes","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Miscellaneous coastal fishes","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Miscellaneous coastal fishes","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Miscellaneous demersal fishes","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Miscellaneous demersal fishes","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Miscellaneous demersal fishes","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Herrings, sardines, anchovies","All presentation forms","Industrial uses","Euro","Iceland","12,633,424",""
"1998","Total","Herrings, sardines, anchovies","All presentation forms","Industrial uses","Tonnes product weight","Iceland","76,842",""
"1998","Total","Herrings, sardines, anchovies","All presentation forms","Industrial uses","Euro/Tonne","Iceland","164",""
"1998","Total","Tunas, bonitos, billfishes","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Tunas, bonitos, billfishes","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Tunas, bonitos, billfishes","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Miscellaneous pelagic fishes","All presentation forms","Industrial uses","Euro","Iceland","66,919,102",""
"1998","Total","Miscellaneous pelagic fishes","All presentation forms","Industrial uses","Tonnes product weight","Iceland","747,913",""
"1998","Total","Miscellaneous pelagic fishes","All presentation forms","Industrial uses","Euro/Tonne","Iceland","89",""
"1998","Total","Sharks, rays, chimaeras","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Sharks, rays, chimaeras","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Sharks, rays, chimaeras","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Marine fishes not identified","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Marine fishes not identified","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Marine fishes not identified","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Crustaceans","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Crustaceans","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Crustaceans","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Crabs, sea-spiders","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Crabs, sea-spiders","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Crabs, sea-spiders","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Lobsters, spiny-rock lobsters","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Lobsters, spiny-rock lobsters","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Lobsters, spiny-rock lobsters","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Shrimps, prawns","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Shrimps, prawns","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Shrimps, prawns","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Miscellaneous marine crustaceans","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Miscellaneous marine crustaceans","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
"1998","Total","Miscellaneous marine crustaceans","All presentation forms","Industrial uses","Euro/Tonne","Iceland",":",""
"1998","Total","Molluscs","All presentation forms","Industrial uses","Euro","Iceland",":",""
"1998","Total","Molluscs","All presentation forms","Industrial uses","Tonnes product weight","Iceland",":",""
