"Species","FishingEntityName","Year","Landed.Country","TaxonKey","LandedValue","Landings","ObservedPrice"
"Abalones, winkles, conchs","Belgium",2007,"Belgium",390011,64377,93,692.225806451613
"Abalones, winkles, conchs","Belgium",2007,"United Kingdom",390011,15919,27,589.592592592593
"Abalones, winkles, conchs","Belgium",2008,"Belgium",390011,60420,101,598.217821782178
"Abalones, winkles, conchs","Belgium",2008,"Netherlands",390011,6531,3,2177
"Abalones, winkles, conchs","Belgium",2008,"United Kingdom",390011,13034,26,501.307692307692
"Abalones, winkles, conchs","Belgium",2009,"Belgium",390011,50450,82,615.243902439024
"Abalones, winkles, conchs","Belgium",2009,"Netherlands",390011,12353,5,2470.6
"Abalones, winkles, conchs","Belgium",2009,"United Kingdom",390011,17146,36,476.277777777778
"Abalones, winkles, conchs","Belgium",2010,"Belgium",390011,59422,115,516.713043478261
"Abalones, winkles, conchs","Belgium",2010,"Netherlands",390011,15309,5,3061.8
"Abalones, winkles, conchs","Belgium",2010,"United Kingdom",390011,18499,23,804.304347826087
"Abalones, winkles, conchs","Belgium",2011,"Belgium",390011,59187,102,580.264705882353
"Abalones, winkles, conchs","Belgium",2011,"Netherlands",390011,4018,8,502.25
"Abalones, winkles, conchs","Belgium",2011,"United Kingdom",390011,5940,13,456.923076923077
"Abalones, winkles, conchs","Belgium",2012,"Belgium",390011,50048,72,695.111111111111
"Abalones, winkles, conchs","Belgium",2012,"Netherlands",390011,3034,5,606.8
"Abalones, winkles, conchs","Belgium",2012,"United Kingdom",390011,16282,32,508.8125
"Abalones, winkles, conchs","Belgium",2013,"Belgium",390011,65358,82,797.048780487805
"Abalones, winkles, conchs","Belgium",2013,"Netherlands",390011,1622,2,811
"Abalones, winkles, conchs","Belgium",2013,"United Kingdom",390011,6257,14,446.928571428571
"Abalones, winkles, conchs","Bulgaria",2006,"Bulgaria",390011,164984,2122,77.7492931196984
"Abalones, winkles, conchs","Bulgaria",2007,"Bulgaria",390011,1520947,4310,352.887935034803
"Abalones, winkles, conchs","Bulgaria",2008,"Bulgaria",390011,966028,2864,337.300279329609
"Abalones, winkles, conchs","Bulgaria",2009,"Bulgaria",390011,655628,2214,296.128274616079
"Abalones, winkles, conchs","Bulgaria",2010,"Bulgaria",390011,641065,4826,132.835681723995
"Abalones, winkles, conchs","Bulgaria",2011,"Bulgaria",390011,503126,3935,127.859212198221
"Abalones, winkles, conchs","Bulgaria",2012,"Bulgaria",390011,1706198,3793,449.828104402847
"Abalones, winkles, conchs","Bulgaria",2013,"Bulgaria",390011,2348430,4834,485.815059991725
"Abalones, winkles, conchs","Croatia",2013,"Croatia",390011,5183,2,2591.5
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2001,"Iceland",390011,303427,678,447.532448377581
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2003,"Iceland",390011,100004,248,403.241935483871
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2004,"Iceland",390011,369923,863,428.647740440324
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2005,"Iceland",390011,506634,991,511.2351160444
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2005,"Norway",390011,46109,73,631.630136986301
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2006,"Iceland",390011,413385,832,496.856971153846
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2006,"Norway",390011,31390,50,627.8
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2007,"Iceland",390011,307099,554,554.330324909747
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2007,"Norway",390011,15985,23,695
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2008,"Iceland",390011,179639,369,486.826558265583
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2008,"Norway",390011,73144,73,1001.97260273973
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2009,"Iceland",390011,50698,116,437.051724137931
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2009,"Norway",390011,42310,41,1031.9512195122
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2010,"Iceland",390011,49669,142,349.781690140845
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2010,"Norway",390011,28547,17,1679.23529411765
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2011,"Iceland",390011,340220,481,707.318087318087
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2011,"Norway",390011,17282,12,1440.16666666667
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2012,"Iceland",390011,290748,372,781.58064516129
"Abalones, winkles, conchs","European Free Trade Association (CH, IS, LI, NO)",2012,"Norway",390011,51015,51,1000.29411764706
"Abalones, winkles, conchs","France",2007,"France",390011,11663315,5734,2034.06260899895
"Abalones, winkles, conchs","France",2008,"France",390011,18349624,9269,1979.67677203582
"Abalones, winkles, conchs","France",2009,"France",390011,18946564,10681,1773.85675498549
"Abalones, winkles, conchs","France",2010,"France",390011,16343699.3,8568.2,1907.48340374875
"Abalones, winkles, conchs","France",2011,"France",390011,24703778,13376,1846.87335526316
"Abalones, winkles, conchs","France",2012,"France",390011,25215803,11773,2141.8332625499
"Abalones, winkles, conchs","France",2013,"France",390011,48614489,12560,3870.5803343949
"Abalones, winkles, conchs","Germany (including ex-GDR from 1991)",2008,"Netherlands",390011,4572,2,2286
"Abalones, winkles, conchs","Germany (including ex-GDR from 1991)",2009,"Netherlands",390011,4538,2,2269
"Abalones, winkles, conchs","Germany (including ex-GDR from 1991)",2010,"Netherlands",390011,6771,2,3385.5
"Abalones, winkles, conchs","Germany (including ex-GDR from 1991)",2011,"Netherlands",390011,1911,4,477.75
"Abalones, winkles, conchs","Germany (including ex-GDR from 1991)",2012,"Netherlands",390011,297,1,297
"Abalones, winkles, conchs","Iceland",2001,"Iceland",390011,303427,678,447.532448377581
"Abalones, winkles, conchs","Iceland",2003,"Iceland",390011,100004,248,403.241935483871
"Abalones, winkles, conchs","Iceland",2004,"Iceland",390011,369923,863,428.647740440324
"Abalones, winkles, conchs","Iceland",2005,"Iceland",390011,506634,991,511.2351160444
"Abalones, winkles, conchs","Iceland",2006,"Iceland",390011,413385,832,496.856971153846
"Abalones, winkles, conchs","Iceland",2007,"Iceland",390011,307099,554,554.330324909747
"Abalones, winkles, conchs","Iceland",2008,"Iceland",390011,179639,369,486.826558265583
"Abalones, winkles, conchs","Iceland",2009,"Iceland",390011,50698,116,437.051724137931
"Abalones, winkles, conchs","Iceland",2010,"Iceland",390011,49669,142,349.781690140845
"Abalones, winkles, conchs","Iceland",2011,"Iceland",390011,340220,481,707.318087318087
"Abalones, winkles, conchs","Iceland",2012,"Iceland",390011,290748,372,781.58064516129
"Abalones, winkles, conchs","Ireland",2007,"Ireland",390011,460952,609,756.899835796387
"Abalones, winkles, conchs","Ireland",2007,"United Kingdom",390011,96597,102,947.029411764706
"Abalones, winkles, conchs","Ireland",2008,"Ireland",390011,2872568,1141,2517.58808063103
"Abalones, winkles, conchs","Ireland",2009,"Ireland",390011,3116002,1103,2825.02447869447
"Abalones, winkles, conchs","Ireland",2010,"Ireland",390011,3418575,1280,2670.76171875
"Abalones, winkles, conchs","Ireland",2011,"Ireland",390011,57023,64,890.984375
"Abalones, winkles, conchs","Ireland",2012,"Ireland",390011,155660,104,1496.73076923077
"Abalones, winkles, conchs","Ireland",2013,"Ireland",390011,298423,218,1368.9128440367
"Abalones, winkles, conchs","Italy",2007,"Italy",390011,18793025,4501,4175.29993334814
"Abalones, winkles, conchs","Italy",2008,"Italy",390011,16554122,3609,4586.89997229149
"Abalones, winkles, conchs","Italy",2009,"Italy",390011,17380299,3826,4542.68139048615
"Abalones, winkles, conchs","Italy",2010,"Italy",390011,14801710,3653,4051.93265808924
"Abalones, winkles, conchs","Italy",2011,"Italy",390011,17014332,4748,3583.47346251053
"Abalones, winkles, conchs","Italy",2012,"Italy",390011,10780038,3733,2887.76801500134
"Abalones, winkles, conchs","Italy",2013,"Italy",390011,11608349,4009,2895.57221252183
"Abalones, winkles, conchs","Netherlands",2007,"Denmark",390011,104,1,104
"Abalones, winkles, conchs","Netherlands",2008,"Netherlands",390011,208339,96,2170.19791666667
