Species,TaxonKey
"Abalones, winkles, conchs",390011
Acoupa weakfish - Cynoscion acoupa,601169
Adriatic sole - Solea impar,500618
Aesop shrimp - Pandalus montagui,690003
African armoured searobin - Peristedion cataphractum,NA
African cuttlefish - Sepia bertheloti,NA
African squid - Alloteuthis africana,NA
African striped grunt - Parapristipoma octolinea,NA
Alaska pollock (=Walleye poll.) - Theragra chalcogramma,NA
Albacore - Thunnus alalunga,NA
Alewife - Alosa pseudoharengus,NA
Alexandria pompano - Alectis alexandrinus,NA
Alfonsino - Beryx decadactylus,NA
"Alfonsinos etc, nei - Berycidae",NA
Alfonsinos nei - Beryx spp,NA
"Allis and twaid shads - Alosa alosa, A.fallax",NA
Allis shad - Alosa alosa,NA
Alloteuthis spp,NA
Amberjacks nei - Seriola spp,NA
American angler - Lophius americanus,NA
American plaice(=Long rough dab) - Hippoglossoides platessoides,NA
American slipper-limpet - Crepidula fornicata,NA
Angelshark - Squatina squatina,NA
"Angelsharks, Sand devils, nei - Squatinidae",NA
Angler(=Monk) - Lophius piscatorius,NA
Anglerfishes nei - Lophiidae,NA
Angolan dentex - Dentex angolensis,NA
Angular rough shark - Oxynotus centrina,NA
Annular seabream - Diplodus annularis,NA
Anomalous lanternfish - Lampadena anoma,NA
Anomuran decapods nei - Anomura,NA
Antarctic fur seal - Arctocephalus gazella,NA
Antarctic starry skate - Raja georgiana,NA
Anthozoa,NA
Aphanopus spp,NA
Aquatic animals,NA
Aquatic invertebrates nei - Invertebrata,NA
Aquatic mammals,NA
Aquatic plants,NA
Arched swimming crab - Liocarcinus arcuatus,NA
Arctic char - Salvelinus alpinus,NA
Arctic skate - Raja hyperborea,NA
Argentine - Argentina sphyraena,NA
Argentine hake - Merluccius hubbsi,NA
Argentine shortfin squid - Illex argentinus,NA
Argentines - Argentina spp,NA
Aristeid shrimps nei - Aristeidae,NA
Ark clams nei - Arca spp,NA
Armed nylon shrimp - Heterocarpus ensifer,NA
Arrow shrimp - Plesionika heterocarpus,NA
Arrowhead dogfish - Deania profundorum,NA
Asian redtail catfish - Mystus nemurus,NA
Asp - Aspius aspius,NA
Atlantic bay scallop - Argopecten irradians,NA
Atlantic bluefin tuna - Thunnus thynnus,NA
Atlantic bonito - Sarda sarda,NA
Atlantic bumper - Chloroscombrus chrysurus,NA
Atlantic cod - Gadus morhua,NA
Atlantic ditch shrimp - Palaemonetes varians,NA
Atlantic gobies nei - Gobius spp,NA
Atlantic halibut - Hippoglossus hippoglossus,NA
Atlantic herring - Clupea harengus,NA
Atlantic horse mackerel - Trachurus trachurus,NA
Atlantic lizardfish - Synodus saurus,NA
Atlantic mackerel - Scomber scombrus,NA
Atlantic mud shrimp - Solenocera membranacea,NA
Atlantic pomfret - Brama brama,NA
Atlantic redfishes nei - Sebastes spp,NA
Atlantic sailfish - Istiophorus albicans,NA
Atlantic salmon - Salmo salar,NA
Atlantic saury - Scomberesox saurus,NA
Atlantic seabob - Xiphopenaeus kroyeri,NA
Atlantic searobins - Prionotus spp,NA
Atlantic silverside - Menidia menidia,NA
Atlantic soft pout - Melanostigma atlanticum,NA
Atlantic thornyhead - Trachyscorpia cristulata,NA
Atlantic tomcod - Microgadus tomcod,NA
Atlantic white marlin - Tetrapturus albidus,NA
Atlantic wolffish - Anarhichas lupus,NA
Australian sawtail catshark - Galeus boardmani,NA
Axillary seabream - Pagellus acarne,NA
Baird's slickhead - Alepocephalus bairdii,NA
Baleen whales nei - Mysticeti,NA
Ballan wrasse - Labrus bergylta,NA
Banded carpet shell - Venerupis rhomboides,NA
Banded murex - Phyllonotus trunculus,NA
Barnacle - Mitella pollicipes,NA
"Barracudas etc, nei - Sphyraenidae",NA
Barracudas nei - Sphyraena spp,NA
Barracudinas nei - Paralepididae,NA
Basking shark - Cetorhinus maximus,NA
Bastard grunt - Pomadasys incisus,NA
Bathyraja rays nei - Bathyraja spp,NA
Batoid fishes nei - Batoidimorpha (Hypotremata),NA
Beaked redfish - Sebastes mentella,NA
Bean solen - Pharus legumen,NA
Bearded brotula - Brotula barbata,NA
Beluga - Huso huso,NA
Bermuda sea chub - Kyphosus sectatrix,NA
Bigeye grunt - Brachydeuterus auritus,NA
Bigeye scad - Selar crumenophthalmus,NA
Bigeye thresher - Alopias superciliosus,NA
Bigeye tuna - Thunnus obesus,NA
Bigeyes nei - Priacanthus spp,NA
"Bigeyes,Glasseyes,Bulleyes, nei - Priacanthidae",NA
Bigscale anchovy - Anchovia macrolepidota,NA
Big-scale pomfret - Taractichthys longipinnis,NA
Big-scale sand smelt - Atherina boyeri,NA
Birdbeak dogfish - Deania calcea,NA
