Species,CommonName,Name,T1
"Abalones, winkles, conchs","Abalones, winkles, conchs","Abalones, winkles, conchs",390011
 Cynoscion acoupa,Acoupa weakfish ,Acoupa weakfish - Cynoscion acoupa,601169
 Solea impar,Adriatic sole ,Adriatic sole - Solea impar,500618
 Pandalus montagui,Aesop shrimp ,Aesop shrimp - Pandalus montagui,690003
 Peristedion cataphractum,African armoured searobin ,African armoured searobin - Peristedion cataphractum,400581
 Sepia bertheloti,African cuttlefish ,African cuttlefish - Sepia bertheloti,590011
 Alloteuthis africana,African squid ,African squid - Alloteuthis africana,390002
 Parapristipoma octolinea,African striped grunt ,African striped grunt - Parapristipoma octolinea,608092
 Theragra chalcogramma,Alaska pollock (=Walleye poll.) ,Alaska pollock (=Walleye poll.) - Theragra chalcogramma,600318
 Thunnus alalunga,Albacore ,Albacore - Thunnus alalunga,600142
 Alosa pseudoharengus,Alewife ,Alewife - Alosa pseudoharengus,601583
 Alectis alexandrinus,Alexandria pompano ,Alexandria pompano - Alectis alexandrinus,601888
 Beryx decadactylus,Alfonsino ,Alfonsino - Beryx decadactylus,601319
 Berycidae,"Alfonsinos etc, nei ","Alfonsinos etc, nei - Berycidae",400240
 Beryx spp,Alfonsinos nei ,Alfonsinos nei - Beryx spp,501129
" Alosa alosa, A.fallax",Allis and twaid shads ,"Allis and twaid shads - Alosa alosa, A.fallax",500352
 Alosa alosa,Allis shad ,Allis shad - Alosa alosa,600101
Alloteuthis spp,Alloteuthis spp,Alloteuthis spp,490010
 Seriola spp,Amberjacks nei ,Amberjacks nei - Seriola spp,500928
 Lophius americanus,American angler ,American angler - Lophius americanus,600532
 Hippoglossoides platessoides,American plaice(=Long rough dab) ,American plaice(=Long rough dab) - Hippoglossoides platessoides,604239
limpet ,American slipper,American slipper-limpet - Crepidula fornicata,590242
 Squatina squatina,Angelshark ,Angelshark - Squatina squatina,600736
 Squatinidae,"Angelsharks, Sand devils, nei ","Angelsharks, Sand devils, nei - Squatinidae",400015
 Lophius piscatorius,Angler(=Monk) ,Angler(=Monk) - Lophius piscatorius,600716
 Lophiidae,Anglerfishes nei ,Anglerfishes nei - Lophiidae,400190
 Dentex angolensis,Angolan dentex ,Angolan dentex - Dentex angolensis,600440
 Oxynotus centrina,Angular rough shark ,Angular rough shark - Oxynotus centrina,600718
 Diplodus annularis,Annular seabream ,Annular seabream - Diplodus annularis,601752
 Lampadena anoma,Anomalous lanternfish ,Anomalous lanternfish - Lampadena anoma,400167
 Anomura,Anomuran decapods nei ,Anomuran decapods nei - Anomura,100000
 Arctocephalus gazella,Antarctic fur seal ,Antarctic fur seal - Arctocephalus gazella,
 Raja georgiana,Antarctic starry skate ,Antarctic starry skate - Raja georgiana,606953
Anthozoa,Anthozoa,Anthozoa,100000
Aphanopus spp,Aphanopus spp,Aphanopus spp,100000
Aquatic animals,Aquatic animals,Aquatic animals,100000
 Invertebrata,Aquatic invertebrates nei ,Aquatic invertebrates nei - Invertebrata,100077
Aquatic mammals,Aquatic mammals,Aquatic mammals,
Aquatic plants,Aquatic plants,Aquatic plants,NA
 Liocarcinus arcuatus,Arched swimming crab ,Arched swimming crab - Liocarcinus arcuatus,490031
 Salvelinus alpinus,Arctic char ,Arctic char - Salvelinus alpinus,600247
 Raja hyperborea,Arctic skate ,Arctic skate - Raja hyperborea,609256
 Argentina sphyraena,Argentine ,Argentine - Argentina sphyraena,600020
 Merluccius hubbsi,Argentine hake ,Argentine hake - Merluccius hubbsi,600325
 Illex argentinus,Argentine shortfin squid ,Argentine shortfin squid - Illex argentinus,690023
 Argentina spp,Argentines ,Argentines - Argentina spp,500147
 Aristeidae,Aristeid shrimps nei ,Aristeid shrimps nei - Aristeidae,490042
 Arca spp,Ark clams nei ,Ark clams nei - Arca spp,590125
 Heterocarpus ensifer,Armed nylon shrimp ,Armed nylon shrimp - Heterocarpus ensifer,590090
 Plesionika heterocarpus,Arrow shrimp ,Arrow shrimp - Plesionika heterocarpus,590090
 Deania profundorum,Arrowhead dogfish ,Arrowhead dogfish - Deania profundorum,300009
 Mystus nemurus,Asian redtail catfish ,Asian redtail catfish - Mystus nemurus,NA
 Aspius aspius,Asp ,Asp - Aspius aspius,604783
 Argopecten irradians,Atlantic bay scallop ,Atlantic bay scallop - Argopecten irradians,690030
 Thunnus thynnus,Atlantic bluefin tuna ,Atlantic bluefin tuna - Thunnus thynnus,600147
 Sarda sarda,Atlantic bonito ,Atlantic bonito - Sarda sarda,600115
 Chloroscombrus chrysurus,Atlantic bumper ,Atlantic bumper - Chloroscombrus chrysurus,600385
 Gadus morhua,Atlantic cod ,Atlantic cod - Gadus morhua,600069
 Palaemonetes varians,Atlantic ditch shrimp ,Atlantic ditch shrimp - Palaemonetes varians,690758
 Gobius spp,Atlantic gobies nei ,Atlantic gobies nei - Gobius spp,400405
 Hippoglossus hippoglossus,Atlantic halibut ,Atlantic halibut - Hippoglossus hippoglossus,601371
 Clupea harengus,Atlantic herring ,Atlantic herring - Clupea harengus,600024
 Trachurus trachurus,Atlantic horse mackerel ,Atlantic horse mackerel - Trachurus trachurus,601365
 Synodus saurus,Atlantic lizardfish ,Atlantic lizardfish - Synodus saurus,400160
 Scomber scombrus,Atlantic mackerel ,Atlantic mackerel - Scomber scombrus,600118
