"Species","CommonName","Name","TaxonKey"
"Aquatic animals","Aquatic animals","Aquatic animals",100000
"Carps, barbels and other cyprinids","Carps, barbels and other cyprinids","Carps, barbels and other cyprinids",100011
"Sturgeons, paddlefishes","Sturgeons, paddlefishes","Sturgeons, paddlefishes",100021
"Miscellaneous diadromous fishes","Miscellaneous diadromous fishes","Miscellaneous diadromous fishes",100025
"Diadromous fishes","Diadromous fishes","Diadromous fishes",100025
"Flounders, halibuts, soles","Flounders, halibuts, soles","Flounders, halibuts, soles",100031
"Anchovia macrolepidota","Bigscale anchovy","Bigscale anchovy - Anchovia macrolepidota",100035
"Clupeoidei","Clupeoids nei","Clupeoids nei - Clupeoidei",100035
"Herrings, sardines, anchovies","Herrings, sardines, anchovies","Herrings, sardines, anchovies",100035
"Tunas, bonitos, billfishes","Tunas, bonitos, billfishes","Tunas, bonitos, billfishes",100036
"Marine fishes not identified","Marine fishes not identified","Marine fishes not identified",100039
"Marine fishes","Marine fishes","Marine fishes",100039
"Osteichthyes","Marine fishes nei","Marine fishes nei - Osteichthyes",100039
"Homarus spp","Homarus spp","Homarus spp",100043
"rock lobsters","Lobsters, spiny","Lobsters, spiny-rock lobsters",100043
"lobsters","King crabs, squat","King crabs, squat-lobsters",100044
"Solenocera membranacea","Atlantic mud shrimp","Atlantic mud shrimp - Solenocera membranacea",100045
"Argis lar","Kuro shrimp","Kuro shrimp - Argis lar",100045
"Shrimps, prawns","Shrimps, prawns","Shrimps, prawns",100045
"Xiphopenaeus spp","Xiphopenaeus shrimps nei","Xiphopenaeus shrimps nei - Xiphopenaeus spp",100045
"Miscellaneous marine crustaceans","Miscellaneous marine crustaceans","Miscellaneous marine crustaceans",100047
"Oysters","Oysters","Oysters",100053
"Mussels","Mussels","Mussels",100054
"Clams, cockles, arkshells","Clams, cockles, arkshells","Clams, cockles, arkshells",100056
"Miscellaneous marine molluscs","Miscellaneous marine molluscs","Miscellaneous marine molluscs",100058
"Mollusca","Marine molluscs nei","Marine molluscs nei - Mollusca",100058
"Molluscs","Molluscs","Molluscs",100058
"Pholas dactylus","Common piddock","Common piddock - Pholas dactylus",100058
"Invertebrata","Aquatic invertebrates nei","Aquatic invertebrates nei - Invertebrata",100077
"Miscellaneous aquatic invertabrates","Miscellaneous aquatic invertabrates","Miscellaneous aquatic invertabrates",100077
"Finfish","Finfish","Finfish",100139
"Osteichthyes","Finfishes nei","Finfishes nei - Osteichthyes",100139
"Echinodermata","Echinoderms","Echinoderms - Echinodermata",100176
"Osteichthyes","Groundfishes nei","Groundfishes nei - Osteichthyes",100239
"urchins and other echinoderms","Sea","Sea-urchins and other echinoderms",100276
"Chondrichthyes","Cartilaginous fishes nei","Cartilaginous fishes nei - Chondrichthyes",100338
"Sharks, rays, chimaeras","Sharks, rays, chimaeras","Sharks, rays, chimaeras",100338
"Osteichthyes","Pelagic fishes nei","Pelagic fishes nei - Osteichthyes",100339
"Natantia","Natantian decapods nei","Natantian decapods nei - Natantia",100345
"Plesionika edwardsii","Striped soldier shrimp","Striped soldier shrimp - Plesionika edwardsii",100345
"Plesionika ensis","Striped gladiator shrimp","Striped gladiator shrimp - Plesionika ensis",100345
"Plesionika martia","Golden shrimp","Golden shrimp - Plesionika martia",100345
"Plesionika spp","Plesionika shrimps nei","Plesionika shrimps nei - Plesionika spp",100345
"Solenoceridae","Solenocerid shrimps nei","Solenocerid shrimps nei - Solenoceridae",100345
"Elasmobranchii","Sharks,Rays,Skates, etc, nei ","Sharks,Rays,Skates, etc, nei - Elasmobranchii",200004
"Squalidae, Scyliorhinidae","Dogfishes,Hounds, nei ","Dogfishes,Hounds, nei - Squalidae, Scyliorhinidae",200007
"Selachimorpha (Pleurotremata)","Various sharks nei","Various sharks nei - Selachimorpha (Pleurotremata)",200007
"Cephalopoda","Cephalopods nei","Cephalopods nei - Cephalopoda",290002
"Squids, cuttlefishes, octopuses","Squids, cuttlefishes, octopuses","Squids, cuttlefishes, octopuses",290002
"Bivalvia","Clams etc, nei ","Clams etc, nei - Bivalvia",290004
"Circomphalus casinus","Chamber venus","Chamber venus - Circomphalus casinus",290004
"squirts and other tunicates","Sea","Sea-squirts and other tunicates",290005
"squirts nei","Sea","Sea-squirts nei - Ascidiacea",290005
"Gastropoda","Gastropods nei","Gastropods nei - Gastropoda",290006
"Sphaerechinus granularis","Violet sea urchin","Violet sea urchin - Sphaerechinus granularis",290011
"urchins etc, nei ","Sea","Sea-urchins etc, nei - Echinoidea",290011
"cucumbers nei","Sea","Sea-cucumbers nei - Holothurioidea",290012
"Crustacea","Marine crustaceans nei","Marine crustaceans nei - Crustacea",290022
"Crustaceans","Crustaceans","Crustaceans",290022
"Chimaeriformes","Chimaeras etc, nei ","Chimaeras etc, nei - Chimaeriformes",300003
"Squaliformes","Dogfish sharks etc, nei ","Dogfish sharks etc, nei - Squaliformes",300009
"Deania profundorum","Arrowhead dogfish","Arrowhead dogfish - Deania profundorum",300009
"Rajiformes","Rays, Stingrays,Mantas, nei ","Rays, Stingrays,Mantas, nei - Rajiformes",300014
"Dysomma anguillare","Shortbelly eel","Shortbelly eel - Dysomma anguillare",300026
"Echelus myrus","Painted eel","Painted eel - Echelus myrus",300026
"eel","Pygmy shore","Pygmy shore-eel - Alabes parvulus",300026
"eel","Pink cusk","Pink cusk-eel - Genypterus blacodes",300026
"Synaphobranchus kaupii","Kaup's arrowtooth eel","Kaup's arrowtooth eel - Synaphobranchus kaupii",300026
"Gilchristella aestuarius","Gilchrist's round herring","Gilchrist's round herring - Gilchristella aestuarius",300028
"Gadiformes","Gadiformes nei","Gadiformes nei - Gadiformes",300044
"Cods, hakes, haddocks","Cods, hakes, haddocks","Cods, hakes, haddocks",300044
"Gadus spp","Northern cods nei","Northern cods nei - Gadus spp",300044
"Perciformes","Pelagic percomorphs nei","Pelagic percomorphs nei - Perciformes",300060
"Perciformes","Demersal percomorphs nei","Demersal percomorphs nei - Perciformes",300060
"Callionymus lyra","Dragonet","Dragonet - Callionymus lyra",300060
"Centracanthus cirrus","Curled picarel","Curled picarel - Centracanthus cirrus",300060
"Cubiceps gracilis","Driftfish","Driftfish - Cubiceps gracilis",300060
"Tetragonurus cuvieri","Smalleye squaretail","Smalleye squaretail - Tetragonurus cuvieri",300060
"Pleuronectiformes","Flatfishes nei","Flatfishes nei - Pleuronectiformes",300061
