"FlagCountry","variable","value","Unit","Species","Landed.Country"
"Finland","2007","17649769","Euro","Total fishery products","Finland"
"Finland","2008","19169788","Euro","Total fishery products","Finland"
"Finland","2009","18042550","Euro","Total fishery products","Finland"
"Finland","2010","19397147","Euro","Total fishery products","Finland"
"Finland","2011","24333668","Euro","Total fishery products","Finland"
"Finland","2012","29088769","Euro","Total fishery products","Finland"
"Finland","2013","35165171","Euro","Total fishery products","Finland"
"Finland","2007","92793","Tonnes product weight","Total fishery products","Finland"
"Finland","2008","90686","Tonnes product weight","Total fishery products","Finland"
"Finland","2009","84400","Tonnes product weight","Total fishery products","Finland"
"Finland","2010","82989","Tonnes product weight","Total fishery products","Finland"
"Finland","2011","78289","Tonnes product weight","Total fishery products","Finland"
"Finland","2012","102795","Tonnes product weight","Total fishery products","Finland"
"Finland","2013","109777","Tonnes product weight","Total fishery products","Finland"
"Finland","2007","17649769","Euro","Aquatic animals","Finland"
"Finland","2008","19169788","Euro","Aquatic animals","Finland"
"Finland","2009","18042550","Euro","Aquatic animals","Finland"
"Finland","2010","19397147","Euro","Aquatic animals","Finland"
"Finland","2011","24333668","Euro","Aquatic animals","Finland"
"Finland","2012","29088769","Euro","Aquatic animals","Finland"
"Finland","2013","35165171","Euro","Aquatic animals","Finland"
"Finland","2007","92793","Tonnes product weight","Aquatic animals","Finland"
"Finland","2008","90686","Tonnes product weight","Aquatic animals","Finland"
"Finland","2009","84400","Tonnes product weight","Aquatic animals","Finland"
"Finland","2010","82989","Tonnes product weight","Aquatic animals","Finland"
"Finland","2011","78289","Tonnes product weight","Aquatic animals","Finland"
"Finland","2012","102795","Tonnes product weight","Aquatic animals","Finland"
"Finland","2013","109777","Tonnes product weight","Aquatic animals","Finland"
"Finland","2007","6372734","Euro","Freshwater and diadromous fishes","Finland"
"Finland","2008","7082967","Euro","Freshwater and diadromous fishes","Finland"
"Finland","2009","7741107","Euro","Freshwater and diadromous fishes","Finland"
"Finland","2010","8558812","Euro","Freshwater and diadromous fishes","Finland"
"Finland","2011","10569083","Euro","Freshwater and diadromous fishes","Finland"
"Finland","2012","8863846","Euro","Freshwater and diadromous fishes","Finland"
"Finland","2013","9655887","Euro","Freshwater and diadromous fishes","Finland"
"Finland","2007","3354","Tonnes product weight","Freshwater and diadromous fishes","Finland"
"Finland","2008","3098","Tonnes product weight","Freshwater and diadromous fishes","Finland"
"Finland","2009","2992","Tonnes product weight","Freshwater and diadromous fishes","Finland"
"Finland","2010","3884","Tonnes product weight","Freshwater and diadromous fishes","Finland"
"Finland","2011","4945","Tonnes product weight","Freshwater and diadromous fishes","Finland"
"Finland","2012","4814","Tonnes product weight","Freshwater and diadromous fishes","Finland"
"Finland","2013","5120","Tonnes product weight","Freshwater and diadromous fishes","Finland"
"Finland","2007","17649769","Euro","Finfish","Finland"
"Finland","2008","19169788","Euro","Finfish","Finland"
"Finland","2009","18042550","Euro","Finfish","Finland"
"Finland","2010","19397147","Euro","Finfish","Finland"
"Finland","2011","24333668","Euro","Finfish","Finland"
"Finland","2012","29088769","Euro","Finfish","Finland"
"Finland","2013","35165171","Euro","Finfish","Finland"
"Finland","2007","92793","Tonnes product weight","Finfish","Finland"
"Finland","2008","90686","Tonnes product weight","Finfish","Finland"
"Finland","2009","84400","Tonnes product weight","Finfish","Finland"
"Finland","2010","82989","Tonnes product weight","Finfish","Finland"
"Finland","2011","78289","Tonnes product weight","Finfish","Finland"
"Finland","2012","102795","Tonnes product weight","Finfish","Finland"
"Finland","2013","109777","Tonnes product weight","Finfish","Finland"
"Finland","2007","17649769","Euro","Finfish and invertebrates","Finland"
"Finland","2008","19169788","Euro","Finfish and invertebrates","Finland"
"Finland","2009","18042550","Euro","Finfish and invertebrates","Finland"
"Finland","2010","19397147","Euro","Finfish and invertebrates","Finland"
"Finland","2011","24333668","Euro","Finfish and invertebrates","Finland"
"Finland","2012","29088769","Euro","Finfish and invertebrates","Finland"
"Finland","2013","35165171","Euro","Finfish and invertebrates","Finland"
"Finland","2007","92793","Tonnes product weight","Finfish and invertebrates","Finland"
"Finland","2008","90686","Tonnes product weight","Finfish and invertebrates","Finland"
