"Species","LandedValue","Landings","ObservedPrice","FishingEntityName","Year"
"Unknown",162,0.02948350405,5494.59791906926,"Guam (USA)",2005
"Fillets",42,0.00861825503,4873.3763219815,"Guam (USA)",2005
"Miscellaneous",858,0.12972741782,6613.86786554633,"Guam (USA)",2005
"Bigeye scad (atulai)",3004,0.44542770734,6744.07979229503,"Guam (USA)",2005
"Black jack",5274,1.04507682048,5046.51897032571,"Guam (USA)",2005
"Jacks",5845,1.07229236268,5450.93875833591,"Guam (USA)",2005
"Napoleon wrasse",515,0.08663614267,5944.40131022052,"Guam (USA)",2005
"Sharks",51,0.00952543977,5354.08351020417,"Guam (USA)",2005
"Eel (freshwater - old code)",42,0.00498951607,8417.65001069532,"Guam (USA)",2005
"Milkfish",94,0.01678291769,5600.93314739959,"Guam (USA)",2005
"Bottom fish",26,0.02358680324,1102.31131092439,"Guam (USA)",2005
"Alfonsin",9,0.00408233133,2204.62262184878,"Guam (USA)",2005
"Ehu (red snapper)",1549,0.17962257852,8623.63747788827,"Guam (USA)",2005
"Gindai (flower snapper)",2770,0.3356583538,8252.43873313663,"Guam (USA)",2005
"Grouper",5434,0.90990629422,5972.04353296423,"Guam (USA)",2005
"Kalikali (pink snapper)",1233,0.18279772511,6745.16052788968,"Guam (USA)",2005
"Lehi (silverjaw)",3285,0.41004750248,8011.26693890844,"Guam (USA)",2005
"Onaga (red snapper)",23926,2.2770336974,10507.5300498713,"Guam (USA)",2005
"Opakapaka (pink snapper)",1379,0.15739655239,8761.31007357194,"Guam (USA)",2005
"Uku (gray snapper)",4107,0.76022081212,5402.37774936332,"Guam (USA)",2005
"Tagafi (red snapper)",109,0.02585476509,4215.85729441257,"Guam (USA)",2005
"Amberjack",2607,0.43726304468,5962.08628128606,"Guam (USA)",2005
"Reef fish",252000,39.14819667759,6437.07811308343,"Guam (USA)",2005
"Wrasse",3756,0.63321494852,5931.63507712321,"Guam (USA)",2005
"Rabbitfish",2576,0.39870769323,6460.87357665807,"Guam (USA)",2005
"Rudderfish (guilli)",1064,0.16964354638,6271.97451777299,"Guam (USA)",2005
"Mafute (emperor)",9985,1.76265994982,5664.73414286156,"Guam (USA)",2005
"Parrotfish",3039,0.52798151868,5755.88328848662,"Guam (USA)",2005
"Snapper",1628,0.28168086177,5779.59038384832,"Guam (USA)",2005
"Surgeonfish",1890,0.32068980559,5893.54562276405,"Guam (USA)",2005
"Unicornfish",61218,10.36957517057,5903.61697495028,"Guam (USA)",2005
"Goatfish",588,0.10296546799,5710.65243016335,"Guam (USA)",2005
"Troll fish",65,0.01451495584,4478.13970063033,"Guam (USA)",2005
"Barracuda",3260,0.81691985837,3990.59952650028,"Guam (USA)",2005
"Mahi/dolphinfish",121632,36.86163754042,3299.69063003852,"Guam (USA)",2005
"Marlin",24470,10.36413206213,2361.02742162193,"Guam (USA)",2005
"Spearfish",111,0.04898797596,2265.86213912235,"Guam (USA)",2005
"Sailfish",1757,0.63412213326,2770.75961844657,"Guam (USA)",2005
"Rainbow runner",7108,1.95634389181,3633.30804454002,"Guam (USA)",2005
"Monchong",2991,0.62777184008,4764.4698424492,"Guam (USA)",2005
"Wahoo",67308,15.66934842165,4295.52002985663,"Guam (USA)",2005
"Bonita/skipjack tuna",36264,15.51830216244,2336.85358233146,"Guam (USA)",2005
"Dogtooth tuna",2824,1.17072190697,2412.18685939595,"Guam (USA)",2005
"Yellowfin tuna",58411,12.9772777057,4501.02104036382,"Guam (USA)",2005
"Crabs (misc)",73,0.01133980925,6437.49805579842,"Guam (USA)",2005
"Lobster",9182,1.22651376848,7486.25921368915,"Guam (USA)",2005
"Octopus",12516,2.2044589182,5677.58369034142,"Guam (USA)",2005
