Species                                                          Caught                    Sold            Value ($)       Price/Lb ($) 
Miscellaneous                                                   1,767                   1,725                   2,638            1.53 
Sharks                                                            443,129               339,332               150,104             0.44 
Rays                                                                       18                          0                          0            0.00 
Eels                                                                      740                      605                      621             1.03 
Armorhead                                                             40                        10                          6             0.64 
Bigeye scad (akule)                                       358,582               156,398               452,361             2.89 
Mackerel scad                                               262,082               163,939               443,588            2.71 
Leatherjacket                                                        322                      303                      558             1.84 
Ten pounder                                                         581                      432                      425             0.98 
Bonefish                                                          11,341                 10,649                 11,203             1.05 
Milkfish                                                             2,696                   2,609                   3,014             1.16 
Flying fishes                                                             6                          1                          2             2.00 
Needlefishes                                                         672                      294                      520             1.77 
Threadfin                                                              660                      422                   2,673             6.34 
Mullets                                                              9,847                   9,155                 34,146             3.73 
Pomfret                                                         685,382               671,636            1,664,622             2.48 
Oilfish                                                           491,248               491,248               917,004             1.87 
Jacks                                                                  1,855                   1,450                   5,124             3.53 
Kahala (amberjack)                                         12,696                      868                   1,105             1.27 
Sasa ulua                                                              744                      460                   1,250             2.72 
Butaguchi (pig-lipped ulua)                            10,662                   8,307                 16,831            2.03 
Dobe ulua                                                             283                      109                      221             2.03 
Papa ulua                                                           4,961                   1,941                   5,695             2.93 
White ulua                                                       19,276                 12,991                 30,600             2.36 
Gunkin (black) ulua                                          1,176                      496                      893            1.80 
Blue trevally                                                      7,961                   5,470                 12,147             2.22 
Hapuupuu (hawaiian grouper)                        21,994                 17,525                 93,994            5.36 
Blue spot grouper                                              2,728                   1,874                   5,218             2.78 
Kalekale                                                            8,025                   5,159                 18,580             3.60 
Snappers                                                            3,485                   2,984                 11,704             3.92 
Yellow-tail kali                                                      22                        10                        29             2.85 
Taape (blue lined snapper)                              41,681                 37,587                 60,461            1.61 
Ehu (red snapper)                                            23,550                 15,342                 78,071             5.09 
Gindai (flower snapper)                                    3,829                   2,449                   9,718             3.97 
Golden kalekale                                                   132                          9                        25             2.95 
Lehi (silverjaw)                                               12,039                   9,916                 38,760             3.91 
Onaga (red snapper)                                        98,167                 71,590               458,322            6.40 
Opakapaka (pink snapper)                            121,523                 95,879               545,558            5.69 
Uku (gray snapper)                                       165,815               137,415               495,676            3.61 
Snake mackerel                                                      36                          5                          1             0.10 
Porgy                                                                 3,436                   3,138                 11,155            3.56 
Reef fishes (unknown)                                         811                          5                          5             1.01 
Reef jacks                                                             156                      129                      454             3.52 
Squirrelfishes                                                  62,279                 57,616               262,597             4.56 
Trumpetfish                                                            51                        17                        17             1.00 
Scorpionfishes                                                   2,063                   1,368                   5,900             4.31 
Mountain bass                                                   4,407                   3,041                 10,810             3.55 
Bigeyes                                                             3,985                   3,271                 10,512            3.21 
Goatfishes                                                       39,432                 36,777               149,655             4.07 
Rudderfish                                                       38,198                 37,658                 48,795             1.30 
Damselfishes                                                     2,086                   1,591                   4,787             3.01 
Hawkfish                                                              931                      845                   2,228             2.64 
Tilapia                                                             10,535                      657                   2,059             3.14 
Wrasses                                                             6,008                   3,627                 15,848             4.37 
Parrotfishes                                                     46,904                 44,596               167,595             3.76 
Surgeonfishes/tangs                                        84,652                 78,879               146,846             1.86 
Flounders                                                               46                        31                        61             1.96 
Filefishes                                                              609                      583                      642             1.10 
Pelagic fishes (unknown)                                  6,424                        79                          8             0.10 
Moonfish (opah)                                        1,333,015            1,313,319            2,197,381             1.67 
Rainbow runner                                                 4,598                   2,799                   5,558             1.99 
Mahimahi                                                   1,449,895            1,252,472            3,182,350             2.54 
Barracudas                                                      37,275                 32,710                 29,421             0.90 
Wahoo                                                           976,583               852,662            2,235,226             2.62 
Tunas (unknown)                                            10,813                   4,537                 10,771             2.37 
Skipjack tuna                                             1,297,977               910,564            1,187,888             1.30 
Yellowfin tuna                                           3,467,141            3,206,876            8,658,554            2.70 
Albacore tuna                                                853,488               803,249            1,343,759            1.67 
Bigeye tuna                                              13,771,330          13,377,125          49,672,237             3.71 
Kawakawa                                                         8,397                   2,444                   4,616             1.89 
Billfishes (unknown)     
                                   5,165                      121                        90            0.75 
Swordfish                                                   4,248,857            3,834,729            7,175,727             1.87 
Blue marlin                                                1,167,763               922,288            1,019,047            1.10 
Black marlin                                                      8,254                   6,217                   4,673             0.75 
Striped marlin                                            1,030,688            1,023,462            1,048,102             1.02 
Shortnose spearfish                                       536,435               508,220               358,728             0.71 
Sailfish                                                            24,566                 11,251                 11,761             1.05 
Spiny lobsters                                                  11,868                   9,912               120,317             12.1 
Slipper lobsters                                                      43                          1                          4            6.00 
Crabs                                                               45,643                 13,228                 56,942             4.30 
Shrimp (saltwater)                                          10,175                      160                      659             4.11 
Octopus                                                           30,000                 20,874                 83,691             4.01 
Squid                                                                 1,627                   1,479                   3,262             2.21 
Limpets (saltwater)                                         11,186                   6,526                 56,144            8.60 
Invertebrates                                                      9,457                   5,551               189,168             34.1 
Algae                                                               10,908                   6,322                 50,081             7.92 
