"Species","LandedValue","Landings","ObservedPrice","FishingEntityName","Year"
"Bigeye Scad",77217,13.02490490455,5928.41180537339,"North Marianas (USA)",2001
"Jacks (Misc.)",11258,1.70596090357,6599.21336792702,"North Marianas (USA)",2001
"Bottom Fish",47258,7.93106258945,5958.59627471143,"North Marianas (USA)",2001
"Sickle Pomfret",719,0.18325131748,3923.57342848829,"North Marianas (USA)",2001
"Alfonsin",100,0.0181436948,5511.55655462194,"North Marianas (USA)",2001
"Ehu (Red Snapper)",23,0.00362873896,6338.29003781523,"North Marianas (USA)",2001
"Gindai (Flower Snap)",5741,0.86908298092,6605.81339876504,"North Marianas (USA)",2001
"Grouper (Misc.)",19928,3.50127950403,5691.63358054183,"North Marianas (USA)",2001
"Onaga (Red Snapper)",59661,7.41986398846,8040.71342719891,"North Marianas (USA)",2001
"Opakapaka (Pink Snp)",13633,1.79214345387,7607.09192702211,"North Marianas (USA)",2001
"Jobfish (Uku)",1243,0.19277675725,6447.87275048948,"North Marianas (USA)",2001
"Silvermouth (Deep Lehi)",8611,1.17253627645,7343.90924438677,"North Marianas (USA)",2001
"Amberjack",64,0.00952543977,6718.84989515817,"North Marianas (USA)",2001
"Reef Fish",189370,37.65905292688,5028.53856595084,"North Marianas (USA)",2001
"Wrasse",2787,0.41866575751,6656.86158948271,"North Marianas (USA)",2001
"Rabbitfish",34035,4.56676798116,7452.75436378855,"North Marianas (USA)",2001
"Emperor (Mafute/misc.)",50943,7.70517358919,6611.53177281699,"North Marianas (USA)",2001
"Squirrelfish",6859,0.96841970995,7082.67286335398,"North Marianas (USA)",2001
"Parrotfish (Misc.)",90302,12.83394251678,7036.18548095667,"North Marianas (USA)",2001
"Surgeonfish (Misc.)",15931,2.35777313926,6756.79934372313,"North Marianas (USA)",2001
"Orangespine Unicornfish",13943,2.041165665,6830.90071476388,"North Marianas (USA)",2001
"Unicornfish (Misc.)",37049,5.51386884972,6719.23852557382,"North Marianas (USA)",2001
"Goatfish (Misc.)",9134,1.33582952965,6837.69882104133,"North Marianas (USA)",2001
"Troll Fish (Misc.)",517,0.10387265273,4977.2484519468,"North Marianas (USA)",2001
"Barracuda",6,0.00181436948,3306.93393277316,"North Marianas (USA)",2001
"Mahimahi",30609,6.45416583273,4742.51836616552,"North Marianas (USA)",2001
"Blue Marlin",2702,0.87271171988,3096.09684211819,"North Marianas (USA)",2001
"Sailfish",183,0.04127690567,4433.47186591567,"North Marianas (USA)",2001
"Rainbow Runner",5735,0.96796611758,5924.79415946707,"North Marianas (USA)",2001
"Wahoo",10775,2.0638452835,5220.83708800452,"North Marianas (USA)",2001
"Tunas (Misc.)",278,0.10115109851,2748.36362723749,"North Marianas (USA)",2001
"Skipjack Tuna",261924,60.72876086508,4313.01406893369,"North Marianas (USA)",2001
"Dogtooth Tuna",7258,1.57487270864,4608.62643703295,"North Marianas (USA)",2001
"Yellowfin Tuna",30735,6.59659383691,4659.22273826048,"North Marianas (USA)",2001
"Saba (Kawakawa)",7389,1.6374684557,4512.45333873701,"North Marianas (USA)",2001
"Spiny Lobster",27276,2.14685268721,12705.1102120319,"North Marianas (USA)",2001
"Octopus",1757,0.31932902848,5502.16185594929,"North Marianas (USA)",2001
"Shrimp (Saltwater)",94,0.00272155422,34539.0877422975,"North Marianas (USA)",2001
