"SPEC","Species","UNIT","Measure","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","1995","1995","TONNE","Tonnes","0","units",,,15667.2,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","1996","1996","TONNE","Tonnes","0","units",,,17062.583,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","1997","1997","TONNE","Tonnes","0","units",,,18386.717,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","1998","1998","TONNE","Tonnes","0","units",,,19657.752,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","1999","1999","TONNE","Tonnes","0","units",,,19122.318,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2000","2000","TONNE","Tonnes","0","units",,,19729,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2001","2001","TONNE","Tonnes","0","units",,,19515,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2002","2002","TONNE","Tonnes","0","units",,,18813.587,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2003","2003","TONNE","Tonnes","0","units",,,19309.542,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2004","2004","TONNE","Tonnes","0","units",,,21075.015,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2005","2005","TONNE","Tonnes","0","units",,,20335.527,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2006","2006","TONNE","Tonnes","0","units",,,19036.19,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2007","2007","TONNE","Tonnes","0","units",,,20801.418,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2008","2008","TONNE","Tonnes","0","units",,,26958,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2009","2009","TONNE","Tonnes","0","units",,,34054.897,,
"PSCA","Scallop","TON","Tonnes","GBR","United Kingdom","2010","2010","TONNE","Tonnes","0","units",,,43130.858,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","1995","1995","NOK","Norwegian Krone","0","units",,,104401000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","1996","1996","NOK","Norwegian Krone","0","units",,,149815000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","1997","1997","NOK","Norwegian Krone","0","units",,,123777000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","1998","1998","NOK","Norwegian Krone","0","units",,,194761000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","1999","1999","NOK","Norwegian Krone","0","units",,,192704000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2000","2000","NOK","Norwegian Krone","0","units",,,174149000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2001","2001","NOK","Norwegian Krone","0","units",,,201790000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2002","2002","NOK","Norwegian Krone","0","units",,,108653000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2003","2003","NOK","Norwegian Krone","0","units",,,96059000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2004","2004","NOK","Norwegian Krone","0","units",,,109003000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2005","2005","NOK","Norwegian Krone","0","units",,,112802000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2006","2006","NOK","Norwegian Krone","0","units",,,165004000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2007","2007","NOK","Norwegian Krone","0","units",,,100201000,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2008","2008","NOK","Norwegian Krone","0","units",,,66114800,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2009","2009","NOK","Norwegian Krone","0","units",,,61980046.32,,
"PRED","Redfish (incl. Pacific Rockfish)","LC","National Currency","NOR","Norway","2010","2010","NOK","Norwegian Krone","0","units",,,104490758,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","1997","1997","EUR","Euro","0","units",,,87108000,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","1998","1998","EUR","Euro","0","units",,,115974300,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","1999","1999","EUR","Euro","0","units",,,110151569.243,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2000","2000","EUR","Euro","0","units",,,96539822,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2001","2001","EUR","Euro","0","units",,,101440678,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2002","2002","EUR","Euro","0","units",,,95270947.38,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2003","2003","EUR","Euro","0","units",,,76824905.56,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2004","2004","EUR","Euro","0","units",,,81337300,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2005","2005","EUR","Euro","0","units",,,94160929.96,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2006","2006","EUR","Euro","0","units",,,182936000,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2007","2007","EUR","Euro","0","units",,,305497000,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2008","2008","EUR","Euro","0","units",,,334230000,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2009","2009","EUR","Euro","0","units",,,103936318.014,,
"POTH","Other Groundfish","LC","National Currency","ESP","Spain","2010","2010","EUR","Euro","0","units",,,221302675,,
"PSQU","Squid","TON","Tonnes","TWN","Chinese Taipei","2004","2004","TONNE","Tonnes","0","units",,,52345.64,,
"PSQU","Squid","TON","Tonnes","TWN","Chinese Taipei","2005","2005","TONNE","Tonnes","0","units",,,50198.822,,
"PSQU","Squid","TON","Tonnes","TWN","Chinese Taipei","2006","2006","TONNE","Tonnes","0","units",,,157531,,
"PSQU","Squid","TON","Tonnes","TWN","Chinese Taipei","2007","2007","TONNE","Tonnes","0","units",,,251201.761,,
"PSQU","Squid","TON","Tonnes","TWN","Chinese Taipei","2008","2008","TONNE","Tonnes","0","units",,,209611,,
"PSQU","Squid","TON","Tonnes","TWN","Chinese Taipei","2009","2009","TONNE","Tonnes","0","units",,,61747.45,,
"PSQU","Squid","TON","Tonnes","TWN","Chinese Taipei","2010","2010","TONNE","Tonnes","0","units",,,60537.748,,
"PHER","Herring (Atlantic and Pacific)","LC","National Currency","EST","Estonia","2006","2006","EUR","Euro","0","units",,,2697310,,
"PHER","Herring (Atlantic and Pacific)","LC","National Currency","EST","Estonia","2007","2007","EUR","Euro","0","units",,,3499475,,
"PHER","Herring (Atlantic and Pacific)","LC","National Currency","EST","Estonia","2008","2008","EUR","Euro","0","units",,,4834308,,
"PHER","Herring (Atlantic and Pacific)","LC","National Currency","EST","Estonia","2009","2009","EUR","Euro","0","units",,,4258767,,
"PHER","Herring (Atlantic and Pacific)","LC","National Currency","EST","Estonia","2010","2010","EUR","Euro","0","units",,,3410960.832,,
"PYEL","Yellowfin","TON","Tonnes","ARG","Argentina","2009","2009","TONNE","Tonnes","0","units",,,5,,
"PSWO","Swordfish","LC","National Currency","USA","United States","2000","2000","USD","US Dollar","0","units",,,37981000,,
"PSWO","Swordfish","LC","National Currency","USA","United States","2001","2001","USD","US Dollar","0","units",,,19831000,,
"PSWO","Swordfish","LC","National Currency","USA","United States","2002","2002","USD","US Dollar","0","units",,,17106000,,
"PSWO","Swordfish","LC","National Currency","USA","United States","2003","2003","USD","US Dollar","0","units",,,18186000,,
