"SPEC","Species","UNIT","Measure","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POTC","Other Crustaceans","LC","National Currency","CHL","Chile","2008","2008","CLP","Chilean Peso","0","units",,,14696832405.192,,
"POTC","Other Crustaceans","LC","National Currency","CHL","Chile","2009","2009","CLP","Chilean Peso","0","units",,,3065716998,,
"POTC","Other Crustaceans","LC","National Currency","CHL","Chile","2010","2010","CLP","Chilean Peso","0","units",,,20201223143.59,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","1995","1995","TONNE","Tonnes","0","units",,,26.8,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","1996","1996","TONNE","Tonnes","0","units",,,8.73,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","1997","1997","TONNE","Tonnes","0","units",,,17.485,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","1998","1998","TONNE","Tonnes","0","units",,,15.295,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","1999","1999","TONNE","Tonnes","0","units",,,5.648,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2000","2000","TONNE","Tonnes","0","units",,,7.693,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2001","2001","TONNE","Tonnes","0","units",,,40.214,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2002","2002","TONNE","Tonnes","0","units",,,68.948,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2003","2003","TONNE","Tonnes","0","units",,,59.011,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2004","2004","TONNE","Tonnes","0","units",,,47.165,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2005","2005","TONNE","Tonnes","0","units",,,64.87,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2006","2006","TONNE","Tonnes","0","units",,,70.368,,
"POTM","Other Molluscs (incl. Sea Urchin)","TON","Tonnes","GBR","United Kingdom","2007","2007","TONNE","Tonnes","0","units",,,31.102,,
"PALP","Alaska Pollack","LC","National Currency","ESP","Spain","2002","2002","EUR","Euro","0","units",,,124550.73,,
"PALP","Alaska Pollack","LC","National Currency","ESP","Spain","2003","2003","EUR","Euro","0","units",,,117000,,
"PALP","Alaska Pollack","LC","National Currency","ESP","Spain","2004","2004","EUR","Euro","0","units",,,109000,,
"PALP","Alaska Pollack","LC","National Currency","ESP","Spain","2005","2005","EUR","Euro","0","units",,,171965.14,,
"PALP","Alaska Pollack","LC","National Currency","ESP","Spain","2006","2006","EUR","Euro","0","units",,,850938.043,,
"PALP","Alaska Pollack","LC","National Currency","ESP","Spain","2009","2009","EUR","Euro","0","units",,,195934,,
"PALP","Alaska Pollack","LC","National Currency","ESP","Spain","2010","2010","EUR","Euro","0","units",,,218630,,
