"SPEC","Species","UNIT","Measure","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","1995","1995","TONNE","Tonnes","0","units",,,3724,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","1996","1996","TONNE","Tonnes","0","units",,,2224,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","1997","1997","TONNE","Tonnes","0","units",,,2340,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","1999","1999","TONNE","Tonnes","0","units",,,2801,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2000","2000","TONNE","Tonnes","0","units",,,3741,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2001","2001","TONNE","Tonnes","0","units",,,3507,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2002","2002","TONNE","Tonnes","0","units",,,2304,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2003","2003","TONNE","Tonnes","0","units",,,1138,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2004","2004","TONNE","Tonnes","0","units",,,854,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2005","2005","TONNE","Tonnes","0","units",,,672,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2006","2006","TONNE","Tonnes","0","units",,,798,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2007","2007","TONNE","Tonnes","0","units",,,997,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2008","2008","TONNE","Tonnes","0","units",,,687,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2009","2009","TONNE","Tonnes","0","units",,,877,,
"PPLA","Plaice","TON","Tonnes","BEL","Belgium","2010","2010","TONNE","Tonnes","0","units",,,1176,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","1995","1995","TONNE","Tonnes","0","units",,,78075.483,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","1996","1996","TONNE","Tonnes","0","units",,,87327.224,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","1997","1997","TONNE","Tonnes","0","units",,,85976.034,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","1998","1998","TONNE","Tonnes","0","units",,,123660.441,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","1999","1999","TONNE","Tonnes","0","units",,,125347.253,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2000","2000","TONNE","Tonnes","0","units",,,139181.433,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2001","2001","TONNE","Tonnes","0","units",,,135041.092,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2002","2002","TONNE","Tonnes","0","units",,,103795.539,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2003","2003","TONNE","Tonnes","0","units",,,76544.913,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2004","2004","TONNE","Tonnes","0","units",,,59429.344,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2005","2005","TONNE","Tonnes","0","units",,,34591.694,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2006","2006","TONNE","Tonnes","0","units",,,32650.197,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2007","2007","TONNE","Tonnes","0","units",,,33529.06,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2008","2008","TONNE","Tonnes","0","units",,,37534.071,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2009","2009","TONNE","Tonnes","0","units",,,72043.906,,
"PMAC","Mackerel","TON","Tonnes","GBR","United Kingdom","2010","2010","TONNE","Tonnes","0","units",,,60793.206,,
"PPLA","Plaice","LC","National Currency","POL","Poland","2005","2005","PLN","Zloty","0","units",,,13000,,
"PPLA","Plaice","LC","National Currency","POL","Poland","2006","2006","PLN","Zloty","0","units",,,19000,,
"PPLA","Plaice","LC","National Currency","POL","Poland","2007","2007","PLN","Zloty","0","units",,,29000,,
"PPLA","Plaice","LC","National Currency","POL","Poland","2009","2009","PLN","Zloty","0","units",,,11627,,
"PPLA","Plaice","LC","National Currency","POL","Poland","2010","2010","PLN","Zloty","0","units",,,1650,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","1995","1995","TONNE","Tonnes","0","units",,,453,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","1996","1996","TONNE","Tonnes","0","units",,,3609,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","1997","1997","TONNE","Tonnes","0","units",,,131,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","1998","1998","TONNE","Tonnes","0","units",,,59,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","1999","1999","TONNE","Tonnes","0","units",,,929,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2000","2000","TONNE","Tonnes","0","units",,,135,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2001","2001","TONNE","Tonnes","0","units",,,176,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2002","2002","TONNE","Tonnes","0","units",,,1037,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2003","2003","TONNE","Tonnes","0","units",,,17,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2004","2004","TONNE","Tonnes","0","units",,,327,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2005","2005","TONNE","Tonnes","0","units",,,170,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2006","2006","TONNE","Tonnes","0","units",,,4185,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2007","2007","TONNE","Tonnes","0","units",,,2483,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2008","2008","TONNE","Tonnes","0","units",,,5263,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2009","2009","TONNE","Tonnes","0","units",,,6013,,
"PHOM","Horse Mackerel","TON","Tonnes","DNK","Denmark","2010","2010","TONNE","Tonnes","0","units",,,5886,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","1996","1996","TONNE","Tonnes","0","units",,,44.306,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","1997","1997","TONNE","Tonnes","0","units",,,120,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","1998","1998","TONNE","Tonnes","0","units",,,81.231,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","1999","1999","TONNE","Tonnes","0","units",,,48.94,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","2000","2000","TONNE","Tonnes","0","units",,,178.5,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","2001","2001","TONNE","Tonnes","0","units",,,49.4,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","2002","2002","TONNE","Tonnes","0","units",,,181.9,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","2003","2003","TONNE","Tonnes","0","units",,,113.3,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","2004","2004","TONNE","Tonnes","0","units",,,284.1,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","2005","2005","TONNE","Tonnes","0","units",,,477.7,,
"POTH","Other Groundfish","TON","Tonnes","PRT","Portugal","2006","2006","TONNE","Tonnes","0","units",,,377.9,,
