"Year","Species","Metric.Tons","Pounds","LandedValue"
1950,"ABALONES",358.8,791000,369244
1950,"ALEWIFE",21467.2,47326500,757043
1950,"AMBERJACK",20.3,44800,1955
1950,"ANCHOVIES",2291.9,5052700,117633
1950,"ARGENTINES",2.2,4900,1168
1950,"BARRACUDAS",1067.7,2353800,334105
1950,"BASS, ROCK",11.3,25000,3555
1950,"BASS, STRIPED",3506.8,7731100,1369181
1950,"BASS, WHITE",470.8,1037900,158802
1950,"BLOODWORMS",141.3,311500,242118
1950,"BLUEFISH",2126.1,4687100,700715
1950,"BONITO, ATLANTIC",56,123500,9728
1950,"BONITO, PACIFIC",315.5,695600,67703
1950,"BOWFIN",18.6,40900,913
1950,"BUFFALOFISHES",390.7,861300,88629
1950,"BURBOT",265.9,586200,32068
1950,"BUTTERFISH",2867.9,6322600,577142
1950,"CABEZON",9.8,21700,556
1950,"CARP, COMMON",3392.8,7479800,354891
1950,"CARPS AND MINNOWS",15.8,34900,2938
1950,"CATFISHES & BULLHEADS",4064.6,8960900,1494237
1950,"CHUBS",4269.8,9413100,1428151
1950,"CLAM, ATLANTIC JACKKNIFE",35.5,78200,18245
1950,"CLAM, ATLANTIC SURF",3511.7,7741900,764275
1950,"CLAM, BUTTER",21.2,46700,12696
1950,"CLAM, OCEAN QUAHOG",100.1,220700,18393
1950,"CLAM, PACIFIC LITTLENECK",84.7,186700,62732
1950,"CLAM, PACIFIC RAZOR",1118,2464717,432585
1950,"CLAM, QUAHOG",9435.7,20801900,7247240
1950,"CLAM, SOFTSHELL",4259.2,9389800,2158733
1950,"CLAMS OR BIVALVES",23.7,52300,19896
1950,"COBIA",25.2,55500,4417
1950,"COCKLE, NUTTALL",33.2,73200,4392
1950,"COD, ATLANTIC",26077.5,57490400,3622665
1950,"COD, PACIFIC",3604.2,7945918,295343
1950,"CRAB, ATLANTIC ROCK",1684.7,3714100,121100
1950,"CRAB, BLUE",54135.2,119346400,4783949
1950,"CRAB, BLUE, SOFT AND PEELER",3051.3,6727000,1097223
1950,"CRAB, DUNGENESS",12668.9,27929825,3110258
1950,"CRAB, FLORIDA STONE CLAWS",18.8,41500,27050
1950,"CRAB, HORSESHOE",612.4,1350000,5400
1950,"CRAB, KING",689.1,1519249,91155
1950,"CRAPPIE",0.7,1600,87
1950,"CRAYFISHES OR CRAWFISHES",30.3,66900,10028
1950,"CROAKER, ATLANTIC",5222.7,11514000,1678360
1950,"CROAKER, PACIFIC WHITE",339,747400,35621
1950,"CUNNER",3.4,7500,231
1950,"CUSK",1731.9,3818100,145471
1950,"DOLLY VARDEN",9.4,20624,2326
1950,"DOLPHINFISH",2.7,5900,590
1950,"DRUM, BLACK",565.9,1247500,117971
1950,"DRUM, FRESHWATER",1493.1,3291600,184376
1950,"DRUM, RED",1206.4,2659700,423329
1950,"EEL, AMERICAN",955.2,2105800,290263
1950,"EEL, CONGER",41.4,91200,2321
1950,"FINFISHES, UNC BAIT AND ANIMAL FOOD",43217.5,95277200,800805
1950,"FINFISHES, UNC FOR FOOD",4379.3,9654600,297550
1950,"FINFISHES, UNC GENERAL",680,1499200,22001
1950,"FLATFISH",3871,8534066,916573
1950,"FLOUNDER, SUMMER",5124.1,11296500,1897140
1950,"FLOUNDER, WINTER",12513.2,27586600,3042074
1950,"FLOUNDER, WITCH",3189,7030500,527922
1950,"FLOUNDER, YELLOWTAIL",10938.4,24114900,2568673
1950,"FLOUNDER,ATLANTIC,PLAICE",3081.9,6794400,416875
1950,"FLYINGFISHES",27.5,60700,4815
1950,"FROGS",21.9,48300,19347
1950,"GARS",145.2,320000,16188
1950,"GOATFISHES",22.7,50000,2860
1950,"GOLDFISH",48.4,106600,5286
1950,"GOOSEFISH",36.8,81200,4010
1950,"GROUPER, GOLIATH",57,125700,7357
1950,"GROUPER, WARSAW",83.8,184700,16480
1950,"GROUPERS",3095.8,6825000,662041
1950,"GRUNTS",40.8,89900,6083
1950,"HADDOCK",71921.8,158558800,11833865
1950,"HAKE, PACIFIC (WHITING)",4.3,9500,184
1950,"HAKE, RED",1554,3425900,72106
1950,"HAKE, SILVER",30541.5,67331700,1446707
1950,"HAKE, WHITE",6380.3,14066000,513621
1950,"HALIBUT, ATLANTIC",243.9,537600,112652
1950,"HALIBUT, CALIFORNIA",495.6,1092700,224622
1950,"HALIBUT, PACIFIC",23175.4,51092502,8344127
1950,"HARVESTFISH",359.6,792800,53141
1950,"HERRING, ATLANTIC",89147.3,196534200,1371914
1950,"HERRING, ATLANTIC THREAD",14.5,32000,240
1950,"HERRING, LAKE OR CISCO",8336.6,18378800,907209
1950,"HERRING, PACIFIC",75855.4,167230843,2104998
1950,"HOGCHOKER",3.9,8700,261
1950,"HOGFISH",9.9,21800,2398
1950,"JACK MACKEREL",60444.4,133255700,2571869
1950,"JACK, CREVALLE",277.8,612400,12290
1950,"KING WHITING",1499.8,3306400,270524
1950,"LADYFISH",224.2,494300,14860
1950,"LAUNCE, AMERICAN SAND",58.3,128600,4040
1950,"LEATHERJACKETS",7.2,15800,1675
1950,"LINGCOD",3270.8,7210710,520423
1950,"LOBSTER, AMERICAN",10522.5,23197900,8346062
1950,"LOBSTER, CALIFORNIA SPINY",423.4,933500,296066
1950,"LOBSTER, CARIBBEAN SPINY",707.5,1559700,280740
1950,"MACKEREL (SCOMBER)",14810.6,32651400,794619
1950,"MACKEREL, ATLANTIC",10021.4,22093100,2057989
1950,"MACKEREL, FRIGATE",27.5,60600,1803
1950,"MACKEREL, KING AND CERO",742.7,1637400,224689
1950,"MACKEREL, SPANISH",2873.5,6335000,590300
1950,"MENHADEN",465534.6,1026317600,10402294
