NMFS Landings Query Results,,,,
,,,,
You Asked For the Following:,,,,
,,,,
Year             : From: 1950 To: 2010,,,,
,,,,
Species          : ALL SPECIES INDIVIDUALLY,,,,
,,,,
State            : All States,,,,
,,,,
Year,Species,Metric Tons,Pounds,$
1950,ABALONES,358.8,"791,000","369,244"
1950,ALEWIFE,"21,467.20","47,326,500","757,043"
1950,AMBERJACK,20.3,"44,800","1,955"
1950,ANCHOVIES,"2,291.90","5,052,700","117,633"
1950,ARGENTINES,2.2,"4,900","1,168"
1950,BARRACUDAS,"1,067.70","2,353,800","334,105"
1950,"BASS, ROCK",11.3,"25,000","3,555"
1950,"BASS, STRIPED","3,506.80","7,731,100","1,369,181"
1950,"BASS, WHITE",470.8,"1,037,900","158,802"
1950,BLOODWORMS,141.3,"311,500","242,118"
1950,BLUEFISH,"2,126.10","4,687,100","700,715"
1950,"BONITO, ATLANTIC",56,"123,500","9,728"
1950,"BONITO, PACIFIC",315.5,"695,600","67,703"
1950,BOWFIN,18.6,"40,900",913
1950,BUFFALOFISHES,390.7,"861,300","88,629"
1950,BURBOT,265.9,"586,200","32,068"
1950,BUTTERFISH,"2,867.90","6,322,600","577,142"
1950,CABEZON,9.8,"21,700",556
1950,"CARP, COMMON","3,392.80","7,479,800","354,891"
1950,CARPS AND MINNOWS,15.8,"34,900","2,938"
1950,CATFISHES & BULLHEADS,"4,064.60","8,960,900","1,494,237"
1950,CHUBS,"4,269.80","9,413,100","1,428,151"
1950,"CLAM, ATLANTIC JACKKNIFE",35.5,"78,200","18,245"
1950,"CLAM, ATLANTIC SURF","3,511.70","7,741,900","764,275"
1950,"CLAM, BUTTER",21.2,"46,700","12,696"
1950,"CLAM, OCEAN QUAHOG",100.1,"220,700","18,393"
1950,"CLAM, PACIFIC LITTLENECK",84.7,"186,700","62,732"
1950,"CLAM, PACIFIC RAZOR","1,118.00","2,464,717","432,585"
1950,"CLAM, QUAHOG","9,435.70","20,801,900","7,247,240"
1950,"CLAM, SOFTSHELL","4,259.20","9,389,800","2,158,733"
1950,CLAMS OR BIVALVES,23.7,"52,300","19,896"
1950,COBIA,25.2,"55,500","4,417"
1950,"COCKLE, NUTTALL",33.2,"73,200","4,392"
1950,"COD, ATLANTIC","26,077.50","57,490,400","3,622,665"
1950,"COD, PACIFIC","3,604.20","7,945,918","295,343"
1950,"CRAB, ATLANTIC ROCK","1,684.70","3,714,100","121,100"
1950,"CRAB, BLUE","54,135.20","119,346,400","4,783,949"
1950,"CRAB, BLUE, SOFT AND PEELER","3,051.30","6,727,000","1,097,223"
1950,"CRAB, DUNGENESS","12,668.90","27,929,825","3,110,258"
1950,"CRAB, FLORIDA STONE CLAWS",18.8,"41,500","27,050"
1950,"CRAB, HORSESHOE",612.4,"1,350,000","5,400"
1950,"CRAB, KING",689.1,"1,519,249","91,155"
1950,CRAPPIE,0.7,"1,600",87
1950,CRAYFISHES OR CRAWFISHES,30.3,"66,900","10,028"
1950,"CROAKER, ATLANTIC","5,222.70","11,514,000","1,678,360"
1950,"CROAKER, PACIFIC WHITE",339,"747,400","35,621"
1950,CUNNER,3.4,"7,500",231
1950,CUSK,"1,731.90","3,818,100","145,471"
1950,DOLLY VARDEN,9.4,"20,624","2,326"
1950,DOLPHINFISH,2.7,"5,900",590
1950,"DRUM, BLACK",565.9,"1,247,500","117,971"
1950,"DRUM, FRESHWATER","1,493.10","3,291,600","184,376"
1950,"DRUM, RED","1,206.40","2,659,700","423,329"
1950,"EEL, AMERICAN",955.2,"2,105,800","290,263"
1950,"EEL, CONGER",41.4,"91,200","2,321"
1950,"FINFISHES, UNC BAIT AND ANIMAL FOOD","43,217.50","95,277,200","800,805"
1950,"FINFISHES, UNC FOR FOOD","4,379.30","9,654,600","297,550"
1950,"FINFISHES, UNC GENERAL",680,"1,499,200","22,001"
1950,FLATFISH,"3,871.00","8,534,066","916,573"
1950,"FLOUNDER, SUMMER","5,124.10","11,296,500","1,897,140"
1950,"FLOUNDER, WINTER","12,513.20","27,586,600","3,042,074"
1950,"FLOUNDER, WITCH","3,189.00","7,030,500","527,922"
1950,"FLOUNDER, YELLOWTAIL","10,938.40","24,114,900","2,568,673"
1950,"FLOUNDER,ATLANTIC,PLAICE","3,081.90","6,794,400","416,875"
1950,FLYINGFISHES,27.5,"60,700","4,815"
1950,FROGS,21.9,"48,300","19,347"
1950,GARS,145.2,"320,000","16,188"
1950,GOATFISHES,22.7,"50,000","2,860"
1950,GOLDFISH,48.4,"106,600","5,286"
1950,GOOSEFISH,36.8,"81,200","4,010"
1950,"GROUPER, GOLIATH",57,"125,700","7,357"
1950,"GROUPER, WARSAW",83.8,"184,700","16,480"
1950,GROUPERS,"3,095.80","6,825,000","662,041"
1950,GRUNTS,40.8,"89,900","6,083"
1950,HADDOCK,"71,921.80","158,558,800","11,833,865"
1950,"HAKE, PACIFIC (WHITING)",4.3,"9,500",184
1950,"HAKE, RED","1,554.00","3,425,900","72,106"
1950,"HAKE, SILVER","30,541.50","67,331,700","1,446,707"
1950,"HAKE, WHITE","6,380.30","14,066,000","513,621"
1950,"HALIBUT, ATLANTIC",243.9,"537,600","112,652"
1950,"HALIBUT, CALIFORNIA",495.6,"1,092,700","224,622"
1950,"HALIBUT, PACIFIC","23,175.40","51,092,502","8,344,127"
1950,HARVESTFISH,359.6,"792,800","53,141"
1950,"HERRING, ATLANTIC","89,147.30","196,534,200","1,371,914"
1950,"HERRING, ATLANTIC THREAD",14.5,"32,000",240
1950,"HERRING, LAKE OR CISCO","8,336.60","18,378,800","907,209"
1950,"HERRING, PACIFIC","75,855.40","167,230,843","2,104,998"
1950,HOGCHOKER,3.9,"8,700",261
1950,HOGFISH,9.9,"21,800","2,398"
1950,JACK MACKEREL,"60,444.40","133,255,700","2,571,869"
1950,"JACK, CREVALLE",277.8,"612,400","12,290"
1950,KING WHITING,"1,499.80","3,306,400","270,524"
1950,LADYFISH,224.2,"494,300","14,860"
1950,"LAUNCE, AMERICAN SAND",58.3,"128,600","4,040"
1950,LINGCOD,"3,270.80","7,210,710","520,423"
1950,"LOBSTER, AMERICAN","10,522.50","23,197,900","8,346,062"
1950,"LOBSTER, CALIFORNIA SPINY",423.4,"933,500","296,066"
1950,"LOBSTER, CARIBBEAN SPINY",707.5,"1,559,700","280,740"
1950,MACKEREL (SCOMBER),"14,810.60","32,651,400","794,619"
1950,"MACKEREL, ATLANTIC","10,021.40","22,093,100","2,057,989"
1950,"MACKEREL, FRIGATE",27.5,"60,600","1,803"
1950,"MACKEREL, KING AND CERO",742.7,"1,637,400","224,689"
1950,"MACKEREL, SPANISH","2,873.50","6,335,000","590,300"
1950,MENHADEN,"465,534.60","1,026,317,600","10,402,294"
1950,MOJARRAS,242.2,"533,900","27,337"
1950,MOONEYES,2.8,"6,200",249
1950,"MULLET, STRIPED (LIZA)","15,886.60","35,023,700","3,631,214"
