Year,Species,Metric.Tons,Pounds,LandedValue,TaxonKey
2010,ALEWIFE,861.7,1899783,468543,601583
2010,ALFONSIN,0,27,154,
2010,AMBERJACK,38,83810,61710,500928
2010,"AMBERJACK, GREATER",680.4,1499993,1511549,601005
2010,"AMBERJACK, LESSER",18.5,40846,47713,500928
2010,ANCHOVIES,30.1,66468,20386,400454
2010,"ANCHOVY, NORTHERN",1271.6,2803420,562602,400454
2010,ATKA MACKEREL,65864.9,145205708,27523017,604037
2010,BALLYHOO,507.6,1119089,814746,601059
2010,"BARRACUDA, PACIFIC",18.4,40590,27981,400360
2010,BARRACUDAS,75,165265,162708,400360
2010,BARRELFISH,7.6,16856,39333,603921
2010,"BASS, ROCK",0.7,1434,1079,400289
2010,"BASS, STRIPED",3425.5,7551866,15179250,600353
2010,"BASS, WHITE",350.1,771831,579130,400289
2010,BIGEYE,1.8,3971,3903,601149
2010,BILLFISHES,0.4,827,575,400419
2010,BLACK DRIFTFISH,1.4,3087,4959,603920
2010,BLOODWORMS,242.3,534231,5893250,
2010,BLUEFISH,3338.5,7360106,3179475,600364
2010,"BONITO, ATLANTIC",29.4,64799,115657,600115
2010,"BONITO, PACIFIC",18.4,40653,14375,604796
2010,BOWFIN,91.7,202144,126498,
2010,"BROTULA, BEARDED",2.1,4718,6024,600486
2010,BUFFALOFISHES,1511.6,3332465,797671,
2010,"BULLHEAD, BROWN",35.4,78007,27964,
2010,BURBOT,6.4,14059,6939,600310
2010,BUTTERFISH,700.9,1545221,962538,!!!
2010,CABEZON,46.3,102125,451370,604140
2010,"CARP, COMMON",512.5,1129823,196709,601450
2010,"CARP, GRASS",45.6,100601,18408,
2010,CARPS AND MINNOWS,196,432091,1137524,
2010,"CATFISH, BLUE",1693.1,3732563,1774785,
2010,"CATFISH, CHANNEL",1261.1,2780276,1275681,
2010,"CATFISH, FLATHEAD",115.6,254835,126637,
2010,CATFISHES & BULLHEADS,611.8,1348780,805170,
2010,"CLAM, ARC, BLOOD",12.5,27524,164561,
2010,"CLAM, ATLANTIC JACKKNIFE",44.8,98870,748813,690029
2010,"CLAM, ATLANTIC SURF",18484,40749766,28172556,690033
2010,"CLAM, BUTTER",6.9,15133,20085,690064
2010,"CLAM, MANILA",425.4,937915,15599090,290004
2010,"CLAM, NORTHERN QUAHOG",2552.5,5627332,39280685,690270
2010,"CLAM, OCEAN QUAHOG",14380.9,31704091,20009421,690275
2010,"CLAM, PACIFIC GEODUCK",1259.9,2777529,62998493,690284
2010,"CLAM, PACIFIC LITTLENECK",12.2,26811,73570,690285
2010,"CLAM, PACIFIC RAZOR",63,138826,548558,690286
2010,"CLAM, PACIFIC, GAPER",2.7,6061,16469,690664
2010,"CLAM, QUAHOG",287.5,633881,4061447,290004
2010,"CLAM, SOFTSHELL",1993.3,4394321,21302051,290004
2010,CLAMS OR BIVALVES,3217.7,7093824,5640254,290004
2010,COBIA,112.8,248674,688921,603542
2010,"COCKLE, NUTTALL",44.9,98892,124430,690651
2010,"COD, ATLANTIC",8039.4,17723579,28142681,600069
2010,"COD, PACIFIC",244777,539635398,146940754,600308
2010,"CRAB, ATLANTIC ROCK",1097.7,2420015,980862,690031
2010,"CRAB, BLUE",89417,197128744,198959594,690052
2010,"CRAB, BLUE, PEELER",887.9,1957445,3749779,
2010,"CRAB, BLUE, SOFT",172,379164,1965921,
2010,"CRAB, BLUE, SOFT AND PEELER",33.6,74165,629396,
2010,"CRAB, DEEPSEA GOLDEN",254.1,560121,981442,
2010,"CRAB, DEEPSEA RED",1.6,3465,7147,
2010,"CRAB, DUNGENESS",29794.7,65685337,140454502,690115
2010,"CRAB, FLORIDA STONE CLAWS",2413.2,5320087,24091655,
2010,"CRAB, GREEN",75.1,165457,143775,690158
2010,"CRAB, HORSESHOE",543.4,1197883,723507,690182
2010,"CRAB, JONAH",4739.4,10448572,5441741,690203
2010,"CRAB, KING",10905.3,24041870,122411319,590073
2010,"CRAB, RED ROCK",567.8,1251777,1673713,690287
2010,"CRAB, SNOW",21699.7,47839212,54047565,590065
2010,"CRAB, SOUTHERN TANNER",1194.8,2634054,3711853,590065
2010,"CRAB, SPIDER",13.5,29700,14850,
2010,CRABS ,1909.2,4208948,3592312,
2010,CRAPPIE,0.2,525,746,
2010,CRAYFISHES OR CRAWFISHES,6603.2,14557411,13970962,
2010,CREOLE-FISH,0.2,354,911,
2010,"CROAKER, ATLANTIC",7395.7,16304567,10744885,
2010,"CROAKER, PACIFIC WHITE",5.3,11670,11420,
2010,CUNNER,2.2,4891,13355,
2010,CUSK,28,61826,53796,
2010,"CUTLASSFISH, ATLANTIC",35.3,77786,83810,
2010,DEALFISH,32.1,70823,25228,
2010,DOLPHINFISH,1023.1,2255425,4860761,
2010,"DORY, AMERICAN JOHN",66.5,146649,105663,
2010,"DRUM, BLACK",2168.6,4780962,4214840,
2010,"DRUM, FRESHWATER",562.3,1239556,225168,
2010,"DRUM, RED",123.5,272322,495503,
2010,DRUMS,0.9,2066,1070,
2010,ECHINODERM,0.3,713,1979,
2010,"EEL, AMERICAN",386.6,852314,2353720,
2010,"EEL, CONGER",28.1,61877,37795,
2010,EELS,2.5,5492,15518,
2010,"EELS, SNAKE",0,42,66,
2010,EMPERORS,3,6528,21615,
2010,ESCOLAR,55.8,123073,110940,
2010,"FINFISHES, UNC BAIT AND ANIMAL FOOD",1087,2396380,608697,
2010,"FINFISHES, UNC FOR FOOD",1206.6,2660020,840789,
2010,"FINFISHES, UNC GENERAL",1484.1,3271915,2942797,
2010,FLATFISH,12823.2,28269952,10818527,
2010,"FLOUNDER, ARROWTOOTH",49553.9,109246441,9882291,
