"Species","FishingEntityName","Year","Landed.Country","TaxonKey","LandedValue","Landings","ObservedPrice"
"Abalones, winkles, conchs","Belgium",2007,"Belgium",390011,64377,93,692.225806451613
"Abalones, winkles, conchs","Belgium",2007,"United Kingdom",390011,15919,27,589.592592592593
"Abalones, winkles, conchs","Belgium",2008,"Belgium",390011,60420,101,598.217821782178
"Abalones, winkles, conchs","Belgium",2008,"Netherlands",390011,6531,3,2177
"Abalones, winkles, conchs","Belgium",2008,"United Kingdom",390011,13034,26,501.307692307692
"Abalones, winkles, conchs","Belgium",2009,"Belgium",390011,50450,82,615.243902439024
"Abalones, winkles, conchs","Belgium",2009,"Netherlands",390011,12353,5,2470.6
"Abalones, winkles, conchs","Belgium",2009,"United Kingdom",390011,17146,36,476.277777777778
"Abalones, winkles, conchs","Belgium",2010,"Belgium",390011,59422,115,516.713043478261
"Abalones, winkles, conchs","Belgium",2010,"Netherlands",390011,15309,5,3061.8
"Abalones, winkles, conchs","Belgium",2010,"United Kingdom",390011,18499,23,804.304347826087
"Abalones, winkles, conchs","France",2007,"France",390011,11663315,5734,2034.06260899895
"Abalones, winkles, conchs","France",2008,"France",390011,18349624,9269,1979.67677203582
"Abalones, winkles, conchs","France",2009,"France",390011,18946564,10681,1773.85675498549
"Abalones, winkles, conchs","France",2010,"France",390011,16343699.3,8568.2,1907.48340374875
"Abalones, winkles, conchs","Germany",2008,"Netherlands",390011,4572,2,2286
"Abalones, winkles, conchs","Germany",2009,"Netherlands",390011,4538,2,2269
"Abalones, winkles, conchs","Germany",2010,"Netherlands",390011,6771,2,3385.5
"Abalones, winkles, conchs","Ireland",2007,"Ireland",390011,460952,609,756.899835796387
"Abalones, winkles, conchs","Ireland",2007,"United Kingdom",390011,96597,102,947.029411764706
"Abalones, winkles, conchs","Ireland",2008,"Ireland",390011,2872568,1141,2517.58808063103
"Abalones, winkles, conchs","Ireland",2009,"Ireland",390011,3116002,1103,2825.02447869447
"Abalones, winkles, conchs","Ireland",2010,"Ireland",390011,3418575,1280,2670.76171875
"Abalones, winkles, conchs","Italy",2007,"Italy",390011,18793025,4501,4175.29993334814
"Abalones, winkles, conchs","Italy",2008,"Italy",390011,16554122,3609,4586.89997229149
"Abalones, winkles, conchs","Italy",2009,"Italy",390011,17380299,3826,4542.68139048615
"Abalones, winkles, conchs","Italy",2010,"Italy",390011,14801710,3653,4051.93265808924
"Abalones, winkles, conchs","Netherlands",2007,"Denmark",390011,104,1,104
"Abalones, winkles, conchs","Netherlands",2008,"Netherlands",390011,208339,96,2170.19791666667
"Abalones, winkles, conchs","Netherlands",2009,"Netherlands",390011,272520,108,2523.33333333333
"Abalones, winkles, conchs","Netherlands",2010,"Belgium",390011,180,1,180
"Abalones, winkles, conchs","Netherlands",2010,"Netherlands",390011,257011,87,2954.14942528736
"Abalones, winkles, conchs","Portugal",2007,"Portugal",390011,695658,201,3460.98507462687
"Abalones, winkles, conchs","Portugal",2008,"Portugal",390011,921117,220,4186.89545454545
"Abalones, winkles, conchs","Portugal",2009,"Portugal",390011,924834,227,4074.15859030837
"Abalones, winkles, conchs","Portugal",2010,"Portugal",390011,892260.2,241.4,3696.18972659486
"Abalones, winkles, conchs","Portugal",2010,"Spain",390011,24889,3,8296.33333333333
"Abalones, winkles, conchs","Spain",2007,"Spain",390011,2533604,356,7116.86516853933
"Abalones, winkles, conchs","Spain",2008,"Spain",390011,2791593,395,7067.32405063291
"Abalones, winkles, conchs","Spain",2009,"Spain",390011,3239861,450,7199.69111111111
"Abalones, winkles, conchs","Spain",2010,"Spain",390011,2996592,442,6779.61990950226
"African striped grunt - Parapristipoma octolinea","Portugal",2007,"Portugal",608092,9786,6,1631
"African striped grunt - Parapristipoma octolinea","Portugal",2008,"Portugal",608092,8245,6,1374.16666666667
"African striped grunt - Parapristipoma octolinea","Portugal",2009,"Portugal",608092,3542,3,1180.66666666667
"African striped grunt - Parapristipoma octolinea","Portugal",2010,"Portugal",608092,907.2,0.8,1134
"Albacore - Thunnus alalunga","North Cyprus",2004,"North Cyprus",600142,1013577,236,4294.81779661017
"Albacore - Thunnus alalunga","North Cyprus",2005,"North Cyprus",600142,684604,395,1733.1746835443
"Albacore - Thunnus alalunga","North Cyprus",2006,"North Cyprus",600142,701379,505,1388.86930693069
"Albacore - Thunnus alalunga","North Cyprus",2007,"North Cyprus",600142,798234,620,1287.47419354839
"Albacore - Thunnus alalunga","North Cyprus",2008,"North Cyprus",600142,760800,240,3170
"Albacore - Thunnus alalunga","North Cyprus",2009,"North Cyprus",600142,411920,217,1898.24884792627
"Albacore - Thunnus alalunga","North Cyprus",2010,"North Cyprus",600142,577500,231,2500
"Albacore - Thunnus alalunga","France",2007,"France",600142,7291914,3013,2420.150680385
"Albacore - Thunnus alalunga","France",2007,"Ireland",600142,133495,53,2518.77358490566
"Albacore - Thunnus alalunga","France",2007,"Spain",600142,196115,78,2514.29487179487
"Albacore - Thunnus alalunga","France",2008,"France",600142,3600722,1526,2359.58191349934
"Albacore - Thunnus alalunga","France",2009,"France",600142,3165041,1290,2453.52015503876
"Albacore - Thunnus alalunga","France",2009,"Spain",600142,22208,8,2776
"Albacore - Thunnus alalunga","France",2010,"France",600142,2916827.73,890,3277.33452808989
"Albacore - Thunnus alalunga","France",2010,"Spain",600142,154511,42,3678.83333333333
"Albacore - Thunnus alalunga","Greece",2007,"Greece",600142,1754000,702,2498.5754985755
"Albacore - Thunnus alalunga","Greece",2008,"Greece",600142,1666670,541,3080.72088724584
"Albacore - Thunnus alalunga","Greece",2009,"Greece",600142,1140604,489,2332.52351738241
"Albacore - Thunnus alalunga","Greece",2010,"Greece",600142,839700,373,2251.20643431635
"Albacore - Thunnus alalunga","Ireland",2007,"France",600142,14460,6,2410
"Albacore - Thunnus alalunga","Ireland",2007,"Ireland",600142,1322803,568,2328.87852112676
"Albacore - Thunnus alalunga","Ireland",2008,"Ireland",600142,5165385,1515,3409.49504950495
"Albacore - Thunnus alalunga","Ireland",2009,"Ireland",600142,9415146,1996,4717.00701402806
"Albacore - Thunnus alalunga","Ireland",2010,"Ireland",600142,2203719,786,2803.71374045802
"Albacore - Thunnus alalunga","Italy",2007,"Italy",600142,18549569,4089,4536.45610173637
"Albacore - Thunnus alalunga","Italy",2007,"Spain",600142,58732,20,2936.6
"Albacore - Thunnus alalunga","Italy",2008,"Italy",600142,10752624,2098,5125.1782650143
"Albacore - Thunnus alalunga","Italy",2008,"Spain",600142,77850,5,15570
"Albacore - Thunnus alalunga","Italy",2009,"Italy",600142,14284038,2799,5103.26473740622
"Albacore - Thunnus alalunga","Italy",2009,"Spain",600142,28688,16,1793
"Albacore - Thunnus alalunga","Italy",2010,"Italy",600142,9200939,1877,4901.93873201918
"Albacore - Thunnus alalunga","Italy",2010,"Spain",600142,112600,24,4691.66666666667
"Albacore - Thunnus alalunga","Malta",2007,"Malta",600142,3344,2,1672
"Albacore - Thunnus alalunga","Malta",2008,"Malta",600142,13019,5,2603.8
"Albacore - Thunnus alalunga","Malta",2009,"Malta",600142,4081,1,4081
"Albacore - Thunnus alalunga","Malta",2010,"Malta",600142,8880,2,4440
"Albacore - Thunnus alalunga","Portugal",2007,"Portugal",600142,107990,38,2841.84210526316
"Albacore - Thunnus alalunga","Portugal",2007,"Spain",600142,364554,109,3344.53211009174
"Albacore - Thunnus alalunga","Portugal",2008,"Portugal",600142,856900,451,1900
"Albacore - Thunnus alalunga","Portugal",2008,"Spain",600142,208188,58,3589.44827586207
"Albacore - Thunnus alalunga","Portugal",2009,"Portugal",600142,149003,55,2709.14545454545
"Albacore - Thunnus alalunga","Portugal",2009,"Spain",600142,1104827,272,4061.86397058824
"Albacore - Thunnus alalunga","Portugal",2010,"Portugal",600142,164919.7,47.9,3443
"Albacore - Thunnus alalunga","Portugal",2010,"Spain",600142,240724,61,3946.29508196721
"Albacore - Thunnus alalunga","Spain",2007,"Ireland",600142,26993,15,1799.53333333333
"Albacore - Thunnus alalunga","Spain",2007,"Spain",600142,46310534,14652,3160.69710619711
"Albacore - Thunnus alalunga","Spain",2008,"Spain",600142,47505847,14241,3335.85050207148
"Albacore - Thunnus alalunga","Spain",2009,"France",600142,6483,1,6483
"Albacore - Thunnus alalunga","Spain",2009,"Ireland",600142,98328,24,4097
"Albacore - Thunnus alalunga","Spain",2009,"Spain",600142,38806759,9329,4159.7983706721
"Albacore - Thunnus alalunga","Spain",2010,"Ireland",600142,110789,44,2517.93181818182
