Species,Year,Pounds,Tonnes..ConvertPounds.,LandedValue,ObservedPrice,FishingEntityName,FishingEntityID,TaxonKey
"ABALONE, BLACK",1989,"89,070",40,"848,217",20994.70514,USA,187,590046
"ABALONE, BLACK",1985,"143,964",65,"785,848",12034.2466,USA,187,590046
"ABALONE, BLACK",1993,814,0,"10,810",29277.60509,USA,187,590046
"ABALONE, BLACK",1986,"107,008",49,"609,628",12559.80562,USA,187,590046
"ABALONE, BLACK",1992,"15,087",7,"183,195",26769.79129,USA,187,590046
"ABALONE, BLACK",1981,"208,410",95,"713,690",7549.62391,USA,187,590046
"ABALONE, BLACK",1990,"37,679",17,"394,679",23092.92316,USA,187,590046
"ABALONE, BLACK",1991,"10,888",5,"121,445",24590.41094,USA,187,590046
"ABALONE, BLACK",1982,"253,362",115,"826,517",7191.915424,USA,187,590046
"ABALONE, BLACK",1987,"123,912",56,"791,376",14080.03609,USA,187,590046
"ABALONE, BLACK",1983,"193,746",88,"658,414",7492.048347,USA,187,590046
"ABALONE, BLACK",1988,"80,665",37,"574,299",15695.93463,USA,187,590046
"ABALONE, BLACK",1984,"174,542",79,"849,587",10731.0488,USA,187,590046
"ABALONE, GREEN",1981,"25,779",12,"174,947",14961.48469,USA,187,590046
"ABALONE, GREEN",1994,596,0,"16,003",59195.59701,USA,187,590046
"ABALONE, GREEN",1989,"8,065",4,"123,169",33669.08416,USA,187,590046
"ABALONE, GREEN",1982,"35,808",16,"285,670",17588.09608,USA,187,590046
"ABALONE, GREEN",1991,"3,265",1,"54,931",37091.00314,USA,187,590046
"ABALONE, GREEN",1993,"4,343",2,"46,226",23465.55038,USA,187,590046
"ABALONE, GREEN",1992,"4,123",2,"71,243",38094.57421,USA,187,590046
"ABALONE, GREEN",1990,"10,935",5,"179,539",36197.14137,USA,187,590046
"ABALONE, GREEN",1987,"11,597",5,"136,870",26019.37555,USA,187,590046
"ABALONE, GREEN",1988,"9,410",4,"126,054",29532.57173,USA,187,590046
"ABALONE, GREEN",1986,"10,313",5,"115,756",24745.30168,USA,187,590046
"ABALONE, GREEN",1985,"9,591",4,"102,856",23642.85939,USA,187,590046
"ABALONE, GREEN",1995,437,0,"12,501",63066.33271,USA,187,590046
"ABALONE, GREEN",1984,"12,783",6,"126,241",21772.17902,USA,187,590046
"ABALONE, GREEN",1983,"22,769",10,"191,123",18505.60364,USA,187,590046
"ABALONE, PINK",1989,"9,004",4,"119,911",29360.11808,USA,187,590046
"ABALONE, PINK",1990,"9,307",4,"139,495",33043.28276,USA,187,590046
"ABALONE, PINK",1993,"7,904",4,"117,125",32669.08206,USA,187,590046
"ABALONE, PINK",1981,"37,698",17,"223,740",13084.57386,USA,187,590046
"ABALONE, PINK",1995,"6,921",3,"182,759",58216.24415,USA,187,590046
"ABALONE, PINK",1992,"7,289",3,"122,963",37191.24866,USA,187,590046
"ABALONE, PINK",1982,"34,516",16,"225,993",14434.73404,USA,187,590046
"ABALONE, PINK",1984,"22,846",10,"200,970",19393.46093,USA,187,590046
"ABALONE, PINK",1988,"7,614",3,"91,223",26413.48692,USA,187,590046
"ABALONE, PINK",1986,"20,760",9,"215,706",22907.04852,USA,187,590046
"ABALONE, PINK",1994,"6,366",3,"156,218",54100.17856,USA,187,590046
"ABALONE, PINK",1987,"12,638",6,"137,810",24040.12055,USA,187,590046
"ABALONE, PINK",1991,"5,155",2,"80,489",34422.47725,USA,187,590046
"ABALONE, PINK",1983,"26,903",12,"192,093",15741.46278,USA,187,590046
"ABALONE, PINK",1985,"27,488",12,"259,186",20787.51888,USA,187,590046
"ABALONE, RED",1984,"119,903",54,"995,817",18309.80614,USA,187,690317
"ABALONE, RED",1989,"189,999",86,"2,042,514",23699.98037,USA,187,690317
"ABALONE, RED",1991,"132,420",60,"1,558,248",25942.82428,USA,187,690317
