Year,Species,TaxonKey,LandedValue(000),LandedValue,Landings,Currency,ObservedPrice,FishingEntityName,FishingEntityID
1951,Cod,300044,"6,817","6,817,000","227,172",CAD,30.00809959,Canada,26
1951,Haddock,601381,"2,669","2,669,000","55,990",CAD,47.66922665,Canada,26
1951,Lobsters,690010,"12,206","12,206,000","45,573",CAD,267.8340245,Canada,26
1951,Swordfish,400417,998,"998,000","2,544",CAD,392.2955975,Canada,26
1951,Herring and sardines,100035,"2,889","2,889,000","208,256",CAD,13.87234942,Canada,26
1951,Redfish,501135,120,"120,000","4,054",CAD,29.60039467,Canada,26
1951,Scallops,490055,227,"227,000",599,CAD,378.9649416,Canada,26
1951,Whitefish,506253,"4,530","4,530,000","26,505",CAD,170.9111488,Canada,26
1951,Salmon,502724,"28,396","28,396,000","197,594",CAD,143.7088171,Canada,26
1951,Pacific Herring,601520,"5,654","5,654,000","365,432",CAD,15.47209878,Canada,26
1951,Halibut,600514,"3,429","3,429,000","20,214",CAD,169.6349065,Canada,26
1950,Cod,300044,"7,140","7,140,000","250,080",CAD,28.55086372,Canada,26
1950,Haddock,601381,"2,366","2,366,000","47,319",CAD,50.00105666,Canada,26
1950,Lobsters,690010,"12,137","12,137,000","44,685",CAD,271.6123979,Canada,26
1950,Swordfish,400417,706,"706,000","2,156",CAD,327.458256,Canada,26
1950,Herring and sardines,100035,"2,062","2,062,000","230,761",CAD,8.935652038,Canada,26
1950,Redfish,501135,57,"57,000","2,070",CAD,27.53623188,Canada,26
1950,Scallops,490055,347,"347,000",784,CAD,442.6020408,Canada,26
1950,Whitefish,506253,"4,021","4,021,000","24,776",CAD,162.2941556,Canada,26
1950,Salmon,502724,"24,336","24,336,000","184,699",CAD,131.7603236,Canada,26
1950,Pacific Herring,601520,"5,149","5,149,000","397,566",CAD,12.95130871,Canada,26
1950,Halibut,600514,"3,837","3,837,000","18,882",CAD,203.2094058,Canada,26
