Species,TaxonKey
Albacore,600142
Albacore tuna,600142
Alewife,601583
ALEWIFE,601583
ALFONSIN,501129
Amberjack,500928
AMBERJACK,500928
"AMBERJACK, GREATER",601005
"AMBERJACK, LESSER",500928
Ambon emperor,601853
ANCHOVIES,400454
"ANCHOVY, NORTHERN",400454
Angler flatfish,300061
ATKA MACKEREL,604037
BALLYHOO,601059
"BARRACUDA, PACIFIC",400360
Barracudas,500372
BARRACUDAS,400360
Barracudas (misc),500372
Barred flagtail,605790
BARRELFISH,603921
"BASS, ROCK",400289
"BASS, STRIPED",600353
"BASS, WHITE",400289
BIGEYE,601149
Bigeye barracuda,605734
Bigeye bream,500809
Bigeye emperor,601869
Bigeye scad,600387
Bigeye squirrelfish,509309
Bigeye trevally,601917
Bigeye tuna,600146
BigeyeTuna,600146
Bigscale soldierfish,501129
BILLFISHES,400419
BLACK DRIFTFISH,603920
Black jack,601936
Black Jack,601936
Black marlin,600217
Black snapper,600266
Blacktip grouper,605348
Blacktip reef shark,600877
Blood snapper,600162
Blue kingfish trevally,601906
Blue lined gindai,600199
Blue lined snapper,600156
Blue marlin,600216
Bluefin trevally,601906
Bluefin tuna,614290
Bluefin Tuna,614290
BLUEFISH,600364
Blueline bream,601834
Blue-lined gindai,600199
Blue-lined snapper,600156
"BONITO, ATLANTIC",600115
"BONITO, PACIFIC",604796
"BROTULA, BEARDED",600486
Brown jobfish,502124
BURBOT,600310
BUTTERFISH,400425
Butterflyfishes,400343
CABEZON,604140
Capelin,600252
Cardinalfish,400304
"CARP, COMMON",601450
CARPS AND MINNOWS,100011
Catfish,300032
"CATFISH, FLATHEAD",300032
CATFISHES & BULLHEADS,300032
Christmas wrasse,605649
"CLAM, ATLANTIC JACKKNIFE",690029
"CLAM, ATLANTIC SURF",690033
"CLAM, BUTTER",690064
"CLAM, MANILA",290004
"CLAM, NORTHERN QUAHOG",690270
"CLAM, OCEAN QUAHOG",690275
"CLAM, PACIFIC GEODUCK",690284
"CLAM, PACIFIC LITTLENECK",690285
"CLAM, PACIFIC RAZOR",690286
"CLAM, PACIFIC, GAPER",690664
"CLAM, QUAHOG",290004
"CLAM, SOFTSHELL",290004
Clams (misc),290004
Clams / quahaugs,290004
CLAMS OR BIVALVES,290004
COBIA,603542
"COCKLE, NUTTALL",690651
Cockles,490058
Cod,300044
"COD, ATLANTIC",600069
"COD, PACIFIC",600308
Conger eels,400062
"CRAB, ATLANTIC ROCK",690031
"CRAB, BLUE",690052
"CRAB, DUNGENESS",690115
"CRAB, GREEN",690158
"CRAB, HORSESHOE",690182
"CRAB, JONAH",690203
"CRAB, KING",590073
"Crab, Other",490097
"Crab, Queen",690313
"CRAB, RED ROCK",690287
"CRAB, SNOW",590065
"CRAB, SOUTHERN TANNER",590065
Crabs,490097
CREOLE-FISH,601217
"CROAKER, ATLANTIC",600408
"CROAKER, PACIFIC WHITE",600422
CUNNER,603672
Cusk,600051
CUSK,502417
