"TaxonKey","TaxonName","CommonName","TargetGrpNum","ISSCAAP","ClaCode","OrdCode","FamCode","GenCode","SpeCode"
100025,"Miscellaneous diadromous fishes","Diadromous fishes nei",6,25,NA,NA,NA,NA,NA
100039,"Marine fishes not identified","Marine fishes nei",5,39,NA,NA,NA,NA,NA
100047,"Miscellaneous marine crustaceans","Marine crabs, shrimps, lobsters nei",26,47,NA,NA,NA,NA,NA
100077,"Miscellaneous aquatic invertebrates","Aquatic invertebrates",29,77,NA,NA,NA,NA,NA
100081,"Pearls or mother-of-pearl and shells","Pearl, mother-of-pearl shells",29,81,NA,NA,NA,NA,NA
100139,"Marine finfishes not identified","Finfishes",5,39,NA,NA,NA,NA,NA
100239,"Marine groundfishes not identified","Groundfishes",5,39,NA,NA,NA,NA,NA
100339,"Marine pelagic fishes not identified","Pelagic fishes",2,39,NA,NA,NA,NA,NA
190023,"Ctenophora","Comb jellies",28,77,NA,NA,NA,NA,NA
190195,"Mollusca","Clams, seasnails, squids, octopuses",25,81,NA,NA,NA,NA,NA
190196,"Cnidaria","Cnidarians, coelenterates",28,77,NA,NA,NA,NA,NA
190277,"Echinodermata","Sea urchins, stars, cucumbers",29,76,NA,NA,NA,NA,NA
200003,"Holocephali","Chimaeras, rat/rabbitfishes",22,38,3,NA,NA,NA,NA
200004,"Elasmobranchii","Sharks, rays, skates",20,38,4,NA,NA,NA,NA
200538,"Chondrichthyes","Sharks, rays, chimaeras",20,38,NA,NA,NA,NA,NA
290002,"Cephalopoda","Squids, cuttlefishes, octopuses",25,57,901063,NA,NA,NA,NA
290004,"Bivalvia","Clams",29,56,901062,NA,NA,NA,NA
290005,"Ascidiacea","Sea squirts",29,74,901028,NA,NA,NA,NA
290006,"Gastropoda","Sea snails",29,52,901064,NA,NA,NA,NA
290011,"Echinoidea","Sea urchins, sea hedgehogs",29,76,901045,NA,NA,NA,NA
290013,"Scyphozoa","True jellyfishes",28,77,901038,NA,NA,NA,NA
290022,"Malacostraca","Lobsters, crabs, shrimps, krill",26,47,NA,NA,NA,NA,NA
290044,"Merostomata","Chelicerates",29,75,901011,NA,NA,NA,NA
290056,"Pteriomorphia","Clams, cockles, arkshells",25,56,NA,NA,NA,NA,NA
290176,"Asterozoa","Starfishes and brittlestars",29,76,NA,NA,NA,NA,NA
290276,"Echinozoa","Sea urchins and sea cucumbers",29,76,NA,NA,NA,NA,NA
300003,"Chimaeriformes","Chimaeras",22,38,3,3,NA,NA,NA
300007,"Lamniformes","Mackerel sharks",20,38,4,7,NA,NA,NA
300008,"Carcharhiniformes","Ground sharks",20,38,4,8,NA,NA,NA
300009,"Squaliformes","Bramble, sleeper, dogfish sharks",20,38,4,9,NA,NA,NA
300014,"Rajiformes","Skates and rays",22,38,4,14,NA,NA,NA
300021,"Sturgeons and paddlefishes","Sturgeons, paddlefishes",6,21,NA,NA,NA,NA,NA
300026,"Anguilliformes","Eels, morays",6,39,6,26,NA,NA,NA
300028,"Clupeiformes","Herrings, shads, anchovies",1,35,6,28,NA,NA,NA
300031,"Pleuronectoidei","Flounders, halibuts, soles, turbots",24,31,NA,NA,NA,NA,NA
300032,"Siluriformes","Catfishes",5,13,6,32,NA,NA,NA
300036,"Scombroidea","Tunas, bonitos, billfishes",3,36,NA,NA,NA,NA,NA
300044,"Gadiformes","Cods",9,32,6,44,NA,NA,NA
300059,"Scorpaeniformes","Scorpionfishes, flatheads",5,39,6,59,NA,NA,NA
300060,"Perciformes","Perch-likes",17,33,6,60,NA,NA,NA
300061,"Pleuronectiformes","Flatfishes",23,31,6,61,NA,NA,NA
300063,"Batoidea","Batoids, skates, rays, sawfishes",22,38,4,14,NA,NA,NA
390002,"Teuthida","Squids",25,57,901063,910267,NA,NA,NA
390006,"Sepiida","Cuttlefishes, bobtail squids",25,57,901063,910264,NA,NA,NA
390007,"Octopoda","Octopuses, argonauts",25,57,901063,910263,NA,NA,NA
390010,"Asteroidea","True sea stars",29,76,901043,NA,NA,NA,NA
390011,"Archaeogastropoda","Abalones, winkles",29,52,901064,910271,NA,NA,NA
390012,"Holothuroidea","Sea cucumbers",29,76,901046,NA,NA,NA,NA
390013,"Decapoda","Crabs, lobsters, shrimps",27,47,901009,910032,NA,NA,NA
390017,"Stomatopoda","Mantis shrimps",26,47,901009,910038,NA,NA,NA
390043,"Anomura","Craylets, squat lobsters, hermits",27,44,NA,NA,NA,NA,NA
390045,"Dendrobranchiata","Shrimps and prawns",26,45,NA,NA,NA,NA,NA
390054,"Mytiloida","Mussels",29,54,NA,NA,NA,NA,NA
400001,"Petromyzontidae","Lampreys",6,25,2,2,1,NA,NA
400002,"Myxinidae","Hagfishes",11,39,1,1,2,NA,NA
400009,"Lamnidae","Mackerel/white sharks",20,38,4,7,9,NA,NA
400010,"Scyliorhinidae","Cat/swellsharks",19,38,4,8,10,NA,NA
400011,"Carcharhinidae","Requiem sharks",20,38,4,8,11,NA,NA
400012,"Sphyrnidae","Hammer, bonnet, scoophead sharks",20,38,4,8,12,NA,NA
400013,"Squalidae","Dogfish sharks",20,38,4,9,13,NA,NA
400015,"Squatinidae","Angel sharks",20,38,4,11,15,NA,NA
400016,"Pristidae","Sawfishes",22,38,4,12,16,NA,NA
400017,"Rhinobatidae","Guitarfishes, fanrays",22,38,4,14,17,NA,NA
400018,"Torpedinidae","Electric rays",21,38,4,13,18,NA,NA
400019,"Rajidae","Stingrays",22,38,4,14,19,NA,NA
400020,"Dasyatidae","Whiptail stingrays",22,38,4,14,20,NA,NA
400022,"Myliobatidae","Eagle/manta rays",22,38,4,14,22,NA,NA
400024,"Callorhinchidae","Plownose chimaeras",22,38,3,3,24,NA,NA
400032,"Acipenseridae","Sturgeons",6,21,6,19,32,NA,NA
400043,"Clupeidae","Herrings, sardines, menhadens",1,35,6,28,43,NA,NA
400048,"Albulidae","Bonefishes",17,35,6,24,48,NA,NA
400056,"Muraenidae","Moray eels",18,33,6,26,56,NA,NA
400062,"Congridae","Conger, garden eels",6,34,6,26,62,NA,NA
400066,"Ophichthidae","Snake eels",5,39,6,26,66,NA,NA
400076,"Salmonidae","Salmonids",15,23,6,36,76,NA,NA
400080,"Osmeridae","Smelts",1,23,6,35,80,NA,NA
400082,"Salangidae","Icefishes, noodlefishes",4,23,6,35,82,NA,NA
400084,"Bathylagidae","Deepsea smelts",7,23,6,35,84,NA,NA
400086,"Alepocephalidae","Slickheads",8,23,6,35,86,NA,NA
400122,"Cyprinidae","Carps, barbels, other cyprinids",5,11,6,30,122,NA,NA
400145,"Ariidae","Sea catfishes, coblers",5,33,6,32,145,NA,NA
400149,"Plotosidae","Eeltail catfishes",17,39,6,32,149,NA,NA
400160,"Synodontidae","Lizardfishes, sauries",5,33,6,39,160,NA,NA
400163,"Chlorophthalmidae","Greeneyes",4,34,6,39,163,NA,NA
400167,"Myctophidae","Lanternfishes",1,34,6,40,167,NA,NA
400176,"Percopsidae","Trout-perches",4,39,6,43,176,NA,NA
400180,"Moridae","Codlings, moras",14,32,6,44,180,NA,NA
400183,"Gadidae","Cods, haddocks",5,32,6,44,183,NA,NA
400185,"Macrouridae","Grenadiers, rattails",9,32,6,44,185,NA,NA
400186,"Ophidiidae","Cuskeels",12,34,6,45,186,NA,NA
400189,"Batrachoididae","Toadfishes",18,33,6,46,189,NA,NA
400190,"Lophiidae","Goosefishes",11,34,6,47,190,NA,NA
400206,"Exocoetidae","Flyingfishes",1,37,6,51,206,NA,NA
400207,"Belonidae","Needlefishes, garfishes",2,37,6,51,207,NA,NA
400208,"Scomberesocidae","Sauries",2,34,6,51,208,NA,NA
400218,"Atherinidae","Silversides",1,37,6,49,218,NA,NA
400236,"Trachichthyidae","Slimeheads",8,34,6,53,236,NA,NA
400240,"Berycidae","Alfonsinos, redfishes",14,39,6,53,240,NA,NA
400243,"Holocentridae","Squirrel-, soldierfishes",16,33,6,53,243,NA,NA
400249,"Zeidae","Dories",11,34,6,55,249,NA,NA
400250,"Oreosomatidae","Oreos",8,34,6,55,250,NA,NA
400252,"Caproidae","Boarfishes",10,34,6,60,252,NA,NA
400253,"Aulostomidae","Trumpetfishes",5,39,6,57,253,NA,NA
400254,"Fistulariidae","Cornetfishes",18,39,6,57,254,NA,NA
400264,"Scorpaenidae","Scorpionfishes, rockfishes",18,34,6,59,264,NA,NA
400266,"Triglidae","Searobins, gurnards",5,34,6,59,266,NA,NA
400271,"Hexagrammidae","Greenlings",5,39,6,59,271,NA,NA
400273,"Platycephalidae","Flatheads",5,33,6,59,273,NA,NA
400277,"Cottidae","Sculpins",18,39,6,59,277,NA,NA
400287,"Centropomidae","Snooks",18,33,6,60,287,NA,NA
400289,"Serranidae","Basses, groupers, hinds",17,33,6,60,289,NA,NA
400299,"Terapontidae","Grunters, tigerperches",5,33,6,60,299,NA,NA
400301,"Kuhliidae","Aholeholes",14,33,6,60,301,NA,NA
400303,"Priacanthidae","Bigeyes, catalufas",17,33,6,60,303,NA,NA
400304,"Apogonidae","Cardinalfishes",16,33,6,60,304,NA,NA
400306,"Percidae","Perches",14,13,6,60,306,NA,NA
400307,"Sillaginidae","Smelt-whitings",5,33,6,60,307,NA,NA
400308,"Malacanthidae","Tilefishes",5,34,6,60,308,NA,NA
400312,"Rachycentridae","Cobias",3,39,6,60,312,NA,NA
400313,"Echeneidae","Remoras",3,37,6,60,313,NA,NA
