,Year,FishingEntityID,TaxonKey
1,2011,1,600203
2,2012,1,600203
3,2013,1,600203
4,2014,1,600203
5,2015,1,600203
6,2016,1,600203
7,2011,1,600439
8,2012,1,600439
9,2013,1,600439
10,2014,1,600439
11,2015,1,600439
12,2016,1,600439
13,2011,1,590010
14,2012,1,590010
15,2013,1,590010
16,2014,1,590010
17,2015,1,590010
18,2016,1,590010
19,2011,1,100039
20,2012,1,100039
21,2013,1,100039
22,2014,1,100039
23,2015,1,100039
24,2016,1,100039
25,2011,1,690088
26,2012,1,690088
27,2013,1,690088
28,2014,1,690088
29,2015,1,690088
30,2016,1,690088
31,2011,1,600115
32,2012,1,600115
33,2013,1,600115
34,2014,1,600115
35,2015,1,600115
36,2016,1,600115
37,2011,1,601043
38,2012,1,601043
39,2013,1,601043
40,2014,1,601043
41,2015,1,601043
42,2016,1,601043
43,2011,1,500679
44,2012,1,500679
45,2013,1,500679
46,2014,1,500679
47,2015,1,500679
48,2016,1,500679
49,2011,1,600035
50,2011,1,600035
51,2012,1,600035
52,2012,1,600035
53,2013,1,600035
54,2013,1,600035
55,2014,1,600035
56,2014,1,600035
57,2015,1,600035
58,2015,1,600035
59,2016,1,600035
60,2016,1,600035
61,2011,1,600203
62,2011,1,600203
63,2012,1,600203
64,2012,1,600203
65,2013,1,600203
66,2013,1,600203
67,2014,1,600203
68,2014,1,600203
69,2015,1,600203
70,2015,1,600203
71,2016,1,600203
72,2016,1,600203
73,2011,1,600439
74,2011,1,600439
75,2012,1,600439
76,2012,1,600439
77,2013,1,600439
78,2013,1,600439
79,2014,1,600439
80,2014,1,600439
81,2015,1,600439
82,2015,1,600439
83,2016,1,600439
84,2016,1,600439
85,2011,1,590010
86,2011,1,590010
87,2012,1,590010
88,2012,1,590010
89,2013,1,590010
90,2013,1,590010
91,2014,1,590010
92,2014,1,590010
93,2015,1,590010
94,2015,1,590010
95,2016,1,590010
96,2016,1,590010
97,2011,1,100039
98,2012,1,100039
99,2013,1,100039
100,2014,1,100039
101,2015,1,100039
102,2016,1,100039
103,2011,1,690088
104,2011,1,690088
105,2012,1,690088
106,2012,1,690088
107,2013,1,690088
108,2013,1,690088
109,2014,1,690088
110,2014,1,690088
111,2015,1,690088
112,2015,1,690088
113,2016,1,690088
114,2016,1,690088
115,2011,1,600115
116,2011,1,600115
117,2012,1,600115
118,2012,1,600115
119,2013,1,600115
120,2013,1,600115
121,2014,1,600115
122,2014,1,600115
123,2015,1,600115
124,2015,1,600115
125,2016,1,600115
126,2016,1,600115
127,2011,1,601043
128,2011,1,601043
129,2012,1,601043
130,2012,1,601043
131,2013,1,601043
132,2013,1,601043
133,2014,1,601043
134,2014,1,601043
135,2015,1,601043
136,2015,1,601043
137,2016,1,601043
138,2016,1,601043
139,2011,1,500679
140,2011,1,500679
141,2012,1,500679
142,2012,1,500679
143,2013,1,500679
144,2013,1,500679
145,2014,1,500679
146,2014,1,500679
147,2015,1,500679
148,2015,1,500679
149,2016,1,500679
150,2016,1,500679
151,2011,1,600203
152,2012,1,600203
153,2013,1,600203
154,2014,1,600203
155,2015,1,600203
156,2016,1,600203
157,2011,1,600066
158,2012,1,600066
159,2013,1,600066
160,2014,1,600066
161,2015,1,600066
162,2016,1,600066
163,2011,1,590010
164,2012,1,590010
165,2013,1,590010
166,2014,1,590010
167,2015,1,590010
168,2016,1,590010
169,2011,1,100039
170,2012,1,100039
171,2013,1,100039
172,2014,1,100039
173,2015,1,100039
174,2016,1,100039
175,2011,1,400359
176,2012,1,400359
177,2013,1,400359
178,2014,1,400359
179,2015,1,400359
180,2016,1,400359
181,2011,1,690088
182,2012,1,690088
183,2013,1,690088
184,2014,1,690088
185,2015,1,690088
186,2016,1,690088
187,2011,1,690109
188,2012,1,690109
189,2013,1,690109
190,2014,1,690109
191,2015,1,690109
192,2016,1,690109
193,2011,1,601350
194,2012,1,601350
195,2013,1,601350
196,2014,1,601350
197,2015,1,601350
198,2016,1,601350
199,2011,1,690085
200,2012,1,690085
201,2013,1,690085
202,2014,1,690085
203,2015,1,690085
204,2016,1,690085
205,2011,1,500679
206,2012,1,500679
207,2013,1,500679
208,2014,1,500679
209,2015,1,500679
210,2016,1,500679
211,2011,1,600203
212,2011,1,600203
213,2012,1,600203
214,2012,1,600203
215,2013,1,600203
216,2013,1,600203
217,2014,1,600203
218,2014,1,600203
219,2015,1,600203
220,2015,1,600203
221,2016,1,600203
222,2016,1,600203
223,2011,1,600066
224,2011,1,600066
225,2012,1,600066
226,2012,1,600066
227,2013,1,600066
228,2013,1,600066
229,2014,1,600066
230,2014,1,600066
231,2015,1,600066
232,2015,1,600066
233,2016,1,600066
234,2016,1,600066
235,2011,1,590010
236,2011,1,590010
237,2012,1,590010
238,2012,1,590010
239,2013,1,590010
240,2013,1,590010
241,2014,1,590010
242,2014,1,590010
243,2015,1,590010
244,2015,1,590010
245,2016,1,590010
246,2016,1,590010
247,2011,1,100039
248,2011,1,100039
249,2012,1,100039
250,2012,1,100039
251,2013,1,100039
252,2013,1,100039
253,2014,1,100039
254,2014,1,100039
255,2015,1,100039
256,2015,1,100039
257,2016,1,100039
258,2016,1,100039
259,2011,1,400359
260,2011,1,400359
261,2012,1,400359
262,2012,1,400359
263,2013,1,400359
264,2013,1,400359
265,2014,1,400359
266,2014,1,400359
267,2015,1,400359
268,2015,1,400359
269,2016,1,400359
270,2016,1,400359
271,2011,1,690088
272,2011,1,690088
273,2012,1,690088
274,2012,1,690088
275,2013,1,690088
276,2013,1,690088
277,2014,1,690088
278,2014,1,690088
279,2015,1,690088
280,2015,1,690088
281,2016,1,690088
282,2016,1,690088
283,2011,1,690109
284,2011,1,690109
285,2012,1,690109
286,2012,1,690109
287,2013,1,690109
288,2013,1,690109
289,2014,1,690109
290,2014,1,690109
291,2015,1,690109
292,2015,1,690109
293,2016,1,690109
294,2016,1,690109
295,2011,1,601350
296,2011,1,601350
297,2012,1,601350
298,2012,1,601350
299,2013,1,601350
300,2013,1,601350
301,2014,1,601350
302,2014,1,601350
303,2015,1,601350
304,2015,1,601350
305,2016,1,601350
306,2016,1,601350
307,2011,1,690085
308,2011,1,690085
309,2012,1,690085
310,2012,1,690085
311,2013,1,690085
312,2013,1,690085
313,2014,1,690085
314,2014,1,690085
315,2015,1,690085
316,2015,1,690085
317,2016,1,690085
318,2016,1,690085
319,2011,1,500679
320,2011,1,500679
321,2012,1,500679
322,2012,1,500679
323,2013,1,500679
324,2013,1,500679
325,2014,1,500679
326,2014,1,500679
327,2015,1,500679
328,2015,1,500679
329,2016,1,500679
